record_id,student_id,study_date,study_hours,sleep_hours,library_hours,self_study_hours,distraction_hours,practice_questions,study_consistency
SB001209,STU00121,2026-06-12,5.96,6.76,1.87,0.87,2.47,35,9
SB001210,STU00121,2026-01-10,0.98,8.16,2.53,2.01,4.19,26,10
SB001211,STU00122,2026-03-03,2.16,7.88,2.16,3.7,2.88,12,1
SB001212,STU00122,2026-02-04,2.09,8.38,3.38,4.58,4.47,33,9
SB001213,STU00122,2026-06-11,0.79,6.48,2.73,2.14,4.66,15,3
SB001214,STU00122,2026-06-08,4.89,5.54,0.78,2.75,2.67,15,3
SB001215,STU00122,2026-02-24,6.84,8.79,0.2,0.99,4.32,38,5
SB001216,STU00122,2026-01-04,4.91,5.5,2.59,1.36,4.92,40,1
SB001217,STU00122,2026-02-22,4.18,4.86,1.4,1.74,2.86,25,2
SB001218,STU00122,2026-03-17,2.97,6.73,0.04,4.96,1.97,20,7
SB001219,STU00122,2026-04-28,5.13,7.98,1.73,1.65,2.1,25,6
SB001220,STU00122,2026-02-22,2.14,5.58,4.51,4.0,2.25,36,2
SB001221,STU00123,2026-04-13,1.04,8.8,1.57,3.18,1.71,3,1
SB001222,STU00123,2026-03-20,7.92,5.33,3.25,4.36,0.69,1,5
SB001223,STU00123,2026-06-08,1.09,8.46,1.4,2.54,0.67,25,5
SB001224,STU00123,2026-04-28,5.58,8.66,1.91,4.77,1.48,9,2
SB001225,STU00123,2026-04-21,6.65,6.8,0.21,1.99,1.58,47,7
SB001226,STU00123,2026-05-25,3.6,7.29,0.85,3.07,0.6,46,3
SB001227,STU00123,2026-02-18,4.42,5.21,3.05,3.81,1.81,29,8
SB001228,STU00123,2026-05-19,4.35,8.63,1.59,5.59,3.51,9,8
SB001229,STU00123,2026-02-17,6.77,7.22,3.13,1.81,3.47,10,10
SB001230,STU00123,2026-05-16,5.19,5.04,3.22,4.0,1.21,44,10
SB001231,STU00124,2026-02-23,3.31,7.88,3.34,1.77,1.13,24,3
SB001232,STU00124,2026-05-12,3.45,4.51,4.91,0.9,3.28,49,4
SB001233,STU00124,2026-01-14,6.12,6.79,0.94,3.15,0.76,37,1
SB001234,STU00124,2026-05-19,7.94,6.16,3.65,3.99,2.57,47,3
SB001235,STU00124,2026-02-08,1.5,7.68,2.11,3.6,1.47,16,7
SB001236,STU00124,2026-05-11,5.0,8.04,3.66,4.73,0.71,22,10
SB001237,STU00124,2026-03-16,3.42,6.14,4.53,5.84,2.12,20,3
SB001238,STU00124,2026-06-02,7.08,8.9,2.93,4.42,2.16,1,6
SB001239,STU00124,2026-04-03,7.24,5.57,3.22,4.43,4.35,9,1
SB001240,STU00124,2026-04-26,1.09,6.95,0.29,5.59,2.32,20,3
SB001241,STU00125,2026-04-14,3.88,6.73,3.52,4.93,4.27,20,4
SB001242,STU00125,2026-03-10,3.25,5.69,2.32,2.55,4.53,37,1
SB001243,STU00125,2026-02-16,1.48,6.25,0.7,2.52,4.9,33,5
SB001244,STU00125,2026-04-14,3.57,6.48,0.49,3.29,3.28,3,4
SB001245,STU00125,2026-06-17,4.08,5.96,3.09,1.99,0.67,34,8
SB001246,STU00125,2026-04-24,4.71,7.2,4.9,0.94,2.62,21,1
SB001247,STU00125,2026-04-28,2.68,5.98,0.88,2.73,0.92,31,3
SB001248,STU00125,2026-02-09,2.08,5.58,1.74,4.97,2.59,5,5
SB001249,STU00125,2026-03-03,5.85,6.55,0.0,1.83,4.41,5,4
SB001250,STU00125,2026-03-08,3.98,8.29,3.56,1.38,3.43,36,7
SB001251,STU00126,2026-04-21,6.82,6.19,3.32,3.04,3.66,23,10
SB001252,STU00126,2026-02-22,6.4,7.44,3.41,4.98,3.72,29,9
SB001253,STU00126,2026-01-29,2.66,7.88,4.7,1.66,4.02,18,3
SB001254,STU00126,2026-06-28,4.62,6.27,1.55,1.49,0.15,41,10
SB001255,STU00126,2026-06-20,4.85,5.45,4.94,2.96,2.7,30,10
SB001256,STU00126,2026-04-04,7.01,8.47,1.06,2.6,3.54,6,9
SB001257,STU00126,2026-03-25,7.92,6.39,3.74,3.87,4.64,9,8
SB001258,STU00126,2026-03-31,6.87,8.89,3.97,1.48,4.69,14,2
SB001259,STU00126,2026-03-15,0.95,5.27,0.07,3.34,4.53,39,5
SB001260,STU00126,2026-03-03,6.54,5.68,1.61,5.15,4.01,50,4
SB001261,STU00127,2026-03-07,1.78,4.91,2.84,4.81,1.26,33,6
SB001262,STU00127,2026-02-24,3.26,8.83,0.25,2.63,4.48,23,2
SB001263,STU00127,2026-04-24,1.24,7.59,1.75,3.3,0.18,12,6
SB001264,STU00127,2026-03-06,4.0,5.43,0.33,0.96,3.8,9,10
SB001265,STU00127,2026-06-30,6.25,8.09,0.05,1.66,2.0,19,2
SB001266,STU00127,2026-04-29,4.34,7.86,4.32,4.82,1.05,14,9
SB001267,STU00127,2026-03-22,7.01,6.4,2.27,4.64,4.72,37,2
SB001268,STU00127,2026-04-03,1.93,5.81,2.35,3.61,2.97,11,10
SB001269,STU00127,2026-03-15,2.8,6.09,4.59,1.62,2.52,26,3
SB001270,STU00127,2026-04-16,4.03,5.99,3.69,4.04,1.97,36,3
SB001271,STU00128,2026-04-21,3.9,8.56,2.39,5.9,3.74,16,10
SB001272,STU00128,2026-01-21,3.33,5.2,1.85,3.93,0.81,21,8
SB001273,STU00128,2026-06-10,0.82,4.59,4.64,3.01,2.71,34,1
SB001274,STU00128,2026-06-17,6.42,7.55,1.36,4.68,0.26,28,7
SB001275,STU00128,2026-03-29,3.26,6.25,2.24,5.6,3.83,44,9
SB001276,STU00128,2026-02-01,7.68,7.38,0.49,3.21,2.28,30,9
SB001277,STU00128,2026-03-14,4.07,5.84,1.88,4.12,3.67,36,3
SB001278,STU00128,2026-05-28,6.38,5.51,0.28,0.8,3.54,50,3
SB001279,STU00128,2026-03-16,4.68,5.4,2.74,3.86,0.09,50,1
SB001280,STU00128,2026-05-04,0.96,5.69,0.21,4.97,0.96,40,8
SB001281,STU00129,2026-06-09,4.48,8.71,1.37,3.21,3.67,36,7
SB001282,STU00129,2026-03-22,5.91,6.66,2.86,3.76,4.17,33,7
SB001283,STU00129,2026-06-24,7.35,5.22,3.74,4.8,3.79,13,10
SB001284,STU00129,2026-03-14,3.7,5.33,1.79,3.73,3.6,12,8
SB001285,STU00129,2026-04-09,5.54,8.05,2.43,3.67,3.2,15,3
SB001286,STU00129,2026-03-10,4.79,5.76,3.11,1.7,0.82,27,1
SB001287,STU00129,2026-05-31,6.28,8.82,1.53,3.0,4.87,2,7
SB001288,STU00129,2026-02-08,7.72,7.49,4.87,0.77,3.03,28,3
SB001289,STU00129,2026-02-22,5.59,8.07,2.99,3.08,4.72,1,8
SB001290,STU00129,2026-01-21,0.86,4.97,4.53,3.03,0.63,19,4
SB001291,STU00130,2026-03-11,2.53,4.82,2.17,1.3,0.07,11,1
SB001292,STU00130,2026-04-15,3.83,5.38,0.84,1.38,3.16,21,5
SB001293,STU00130,2026-02-17,7.79,7.75,2.92,2.61,4.05,7,9
SB001294,STU00130,2026-05-18,2.93,8.04,3.63,5.45,3.0,2,4
SB001295,STU00130,2026-02-27,6.46,5.06,1.14,5.74,2.27,7,8
SB001296,STU00130,2026-05-22,6.76,8.38,3.99,5.07,1.16,1,1
SB001297,STU00130,2026-04-17,3.87,5.28,2.62,2.45,0.92,41,8
SB001298,STU00130,2026-02-15,0.82,7.09,0.58,0.83,2.78,38,4
SB001299,STU00130,2026-03-16,7.01,5.48,4.22,2.85,0.63,26,9
SB001300,STU00130,2026-05-19,6.72,7.34,4.61,3.82,1.27,32,1
SB001301,STU00131,2026-03-17,4.92,6.6,0.24,5.17,0.87,0,5
SB001302,STU00131,2026-01-06,3.27,5.77,0.04,0.66,0.64,13,3
SB001303,STU00131,2026-04-21,1.42,8.21,3.98,5.22,4.78,47,10
SB001304,STU00131,2026-01-14,1.04,7.12,4.49,2.9,1.93,27,7
SB001305,STU00131,2026-01-11,5.25,7.04,1.43,1.85,1.31,44,8
SB001306,STU00131,2026-04-30,6.91,5.63,0.54,2.65,4.65,15,8
SB001307,STU00131,2026-02-02,6.23,8.57,3.33,5.39,4.51,14,6
SB001308,STU00131,2026-05-29,7.15,6.18,4.0,5.44,2.86,39,1
SB001309,STU00131,2026-02-13,6.17,8.83,3.97,5.93,0.39,32,8
SB001310,STU00131,2026-04-25,1.17,5.14,1.03,4.34,0.47,36,5
SB001311,STU00132,2026-01-29,4.79,5.52,2.49,5.63,1.54,35,9
SB001312,STU00132,2026-03-11,2.71,5.66,1.49,3.79,0.43,43,8
SB001313,STU00132,2026-03-04,6.23,6.29,4.07,4.25,1.71,8,8
SB001314,STU00132,2026-06-25,3.55,7.55,1.73,4.94,1.31,49,9
SB001315,STU00132,2026-06-07,5.95,8.95,0.17,4.09,2.94,26,3
SB001316,STU00132,2026-03-31,4.24,5.78,3.2,2.01,3.85,10,9
SB001317,STU00132,2026-05-10,6.8,4.83,2.05,0.84,3.95,28,7
SB001318,STU00132,2026-01-30,6.11,6.4,4.28,3.79,1.77,5,5
SB001319,STU00132,2026-01-13,4.54,5.99,0.3,2.96,2.19,44,10
SB001320,STU00132,2026-04-23,4.94,4.54,4.81,2.96,2.9,15,9
SB001321,STU00133,2026-05-27,6.12,5.22,3.98,0.88,0.24,42,6
SB001322,STU00133,2026-03-02,7.79,8.39,4.78,2.84,4.48,23,7
SB001323,STU00133,2026-06-18,3.4,7.59,1.86,4.12,1.82,16,8
SB001324,STU00133,2026-01-18,6.09,8.84,1.66,5.63,2.71,19,10
SB001325,STU00133,2026-04-17,4.99,5.21,4.92,3.83,2.18,49,9
SB001326,STU00133,2026-06-21,5.4,6.92,4.09,0.75,2.57,41,8
SB001327,STU00133,2026-06-11,2.93,5.44,1.98,2.99,2.66,8,4
SB001328,STU00133,2026-06-22,2.58,4.92,0.78,1.03,4.13,29,2
SB001329,STU00133,2026-02-09,3.87,5.81,4.69,2.24,0.42,35,10
SB001330,STU00133,2026-06-07,5.14,5.28,3.78,2.99,2.17,16,3
SB001331,STU00134,2026-05-05,5.53,5.17,0.41,3.54,2.91,34,2
SB001332,STU00134,2026-04-02,2.53,7.3,3.74,2.18,0.4,32,2
SB001333,STU00134,2026-04-30,5.4,8.03,1.22,2.6,4.85,18,4
SB001334,STU00134,2026-04-10,2.28,4.77,1.92,3.86,0.36,28,7
SB001335,STU00134,2026-05-19,1.34,6.64,2.44,2.15,0.98,30,5
SB001336,STU00134,2026-02-16,7.67,5.87,3.55,1.31,4.95,49,9
SB001337,STU00134,2026-04-17,7.88,5.27,1.08,4.37,2.56,32,4
SB001338,STU00134,2026-04-28,1.73,6.65,4.77,2.77,2.48,24,8
SB001339,STU00134,2026-03-23,2.86,8.52,0.59,5.97,4.97,30,7
SB001340,STU00134,2026-03-01,0.59,6.19,4.64,3.48,0.09,18,9
SB001341,STU00135,2026-05-15,2.31,6.13,3.44,3.31,1.72,47,8
SB001342,STU00135,2026-04-16,7.89,4.65,0.46,2.12,3.84,23,5
SB001343,STU00135,2026-06-20,3.72,6.22,2.66,2.5,1.58,36,1
SB001344,STU00135,2026-04-04,6.64,6.08,3.98,5.92,1.35,21,1
SB001345,STU00135,2026-03-16,4.17,6.12,4.28,0.75,2.9,17,4
SB001346,STU00135,2026-06-14,0.84,4.69,3.18,1.94,4.83,5,5
SB001347,STU00135,2026-06-03,5.6,6.85,3.82,4.44,2.39,5,4
SB001348,STU00135,2026-01-14,3.79,5.65,2.61,4.94,4.07,12,9
SB001349,STU00135,2026-03-12,3.64,8.74,4.7,5.42,0.92,9,4
SB001350,STU00135,2026-03-15,1.19,6.85,4.03,1.19,3.08,46,10
SB001351,STU00136,2026-04-21,4.03,6.46,2.34,1.52,4.82,44,3
SB001352,STU00136,2026-01-12,1.39,6.64,1.53,1.15,0.36,37,1
SB001353,STU00136,2026-01-14,7.07,6.12,1.91,3.69,4.04,40,7
SB001354,STU00136,2026-03-31,1.78,7.29,3.99,1.43,4.47,15,3
SB001355,STU00136,2026-04-21,2.77,7.57,4.42,3.36,4.76,33,5
SB001356,STU00136,2026-03-16,0.94,8.75,0.43,3.36,2.12,16,1
SB001357,STU00136,2026-01-14,6.72,4.5,1.93,3.38,1.02,4,7
SB001358,STU00136,2026-01-15,3.02,5.81,1.43,5.17,4.58,49,1
SB001359,STU00136,2026-02-23,4.26,8.24,3.96,3.73,4.62,42,6
SB001360,STU00136,2026-01-21,2.97,4.74,3.55,5.43,0.99,21,5
SB001361,STU00137,2026-01-10,1.92,6.97,0.27,1.55,1.44,2,1
SB001362,STU00137,2026-03-10,3.64,6.43,1.43,1.08,0.93,28,6
SB001363,STU00137,2026-04-10,0.77,5.06,1.39,4.06,1.61,49,2
SB001364,STU00137,2026-04-04,7.65,7.0,0.36,1.98,2.26,45,7
SB001365,STU00137,2026-06-28,3.34,6.16,4.84,5.41,2.87,12,2
SB001366,STU00137,2026-03-13,1.83,4.82,3.41,4.08,3.33,26,2
SB001367,STU00137,2026-02-21,4.36,5.19,3.53,1.96,2.37,33,10
SB001368,STU00137,2026-05-30,4.84,6.12,2.12,1.17,1.86,24,1
SB001369,STU00137,2026-06-24,5.58,4.71,0.54,3.22,3.67,9,9
SB001370,STU00137,2026-05-23,6.0,8.58,0.47,0.75,4.47,28,2
SB001371,STU00138,2026-03-15,1.46,8.78,4.98,1.71,0.92,22,8
SB001372,STU00138,2026-05-22,5.89,7.49,2.78,5.63,2.78,27,10
SB001373,STU00138,2026-05-29,1.26,8.92,1.11,1.65,1.16,32,1
SB001374,STU00138,2026-01-05,2.07,7.14,1.26,3.22,4.37,20,5
SB001375,STU00138,2026-01-09,4.01,5.7,1.67,4.93,0.32,39,1
SB001376,STU00138,2026-01-22,4.92,7.52,0.01,5.07,2.01,43,2
SB001377,STU00138,2026-01-23,5.16,5.43,0.31,5.51,0.29,28,6
SB001378,STU00138,2026-05-08,7.63,6.56,0.14,1.28,0.26,27,4
SB001379,STU00138,2026-06-29,0.55,7.2,0.84,4.42,0.24,7,5
SB001380,STU00138,2026-01-30,6.32,5.6,2.84,4.72,2.89,13,10
SB001381,STU00139,2026-01-31,5.36,7.83,2.96,0.68,3.62,5,1
SB001382,STU00139,2026-04-10,2.96,6.43,0.3,5.51,0.82,15,10
SB001383,STU00139,2026-06-06,2.22,5.09,1.53,4.96,2.97,34,6
SB001384,STU00139,2026-03-03,3.85,4.69,1.96,4.24,0.0,1,4
SB001385,STU00139,2026-04-13,2.65,8.24,0.08,0.7,3.34,3,6
SB001386,STU00139,2026-01-25,7.34,8.66,2.57,5.35,2.24,15,10
SB001387,STU00139,2026-04-05,5.98,8.78,3.34,4.9,4.2,45,9
SB001388,STU00139,2026-06-12,4.83,7.14,3.19,0.55,2.41,4,1
SB001389,STU00139,2026-03-20,7.8,7.08,3.09,3.58,2.33,41,3
SB001390,STU00139,2026-04-22,7.81,6.94,0.44,2.95,4.72,32,8
SB001391,STU00140,2026-06-22,3.33,6.33,0.06,0.82,0.91,48,9
SB001392,STU00140,2026-05-11,3.1,4.65,0.63,5.57,1.4,0,5
SB001393,STU00140,2026-03-06,7.97,6.49,4.54,0.91,1.29,7,9
SB001394,STU00140,2026-05-06,5.43,8.39,4.16,4.79,3.18,48,8
SB001395,STU00140,2026-05-21,1.13,7.3,1.94,4.72,1.09,29,1
SB001396,STU00140,2026-06-09,3.73,6.8,2.87,1.13,4.59,9,4
SB001397,STU00140,2026-02-24,4.58,5.74,3.63,1.02,4.15,47,1
SB001398,STU00140,2026-06-28,1.77,6.02,4.66,4.58,2.79,22,9
SB001399,STU00140,2026-04-24,4.16,4.95,2.68,3.55,0.11,34,3
SB001400,STU00140,2026-04-09,4.88,8.4,3.06,3.94,0.1,19,4
SB001401,STU00141,2026-03-16,3.13,4.77,3.2,1.08,3.42,2,3
SB001402,STU00141,2026-01-08,6.8,6.4,4.81,2.49,0.88,45,4
SB001403,STU00141,2026-02-28,2.85,6.91,4.39,4.42,2.71,11,9
SB001404,STU00141,2026-01-17,3.62,5.29,3.3,4.72,3.14,41,8
SB001405,STU00141,2026-05-31,0.88,5.15,0.87,5.5,3.09,18,4
SB001406,STU00141,2026-04-17,7.69,5.5,4.54,1.11,1.16,48,8
SB001407,STU00141,2026-01-29,0.52,7.12,0.54,0.61,0.43,27,7
SB001408,STU00141,2026-01-27,4.28,5.79,4.24,5.83,4.96,14,6
SB001409,STU00141,2026-01-02,2.26,6.07,2.73,5.21,4.91,43,5
SB001410,STU00141,2026-04-16,3.77,5.97,4.49,1.09,2.66,33,8
SB001411,STU00142,2026-02-22,3.08,5.48,1.93,4.99,3.77,5,7
SB001412,STU00142,2026-04-02,6.63,8.4,1.69,1.42,2.49,37,7
SB001413,STU00142,2026-01-17,7.99,7.57,1.15,0.59,2.09,18,6
SB001414,STU00142,2026-01-20,4.99,5.02,3.48,4.6,0.7,44,6
SB001415,STU00142,2026-05-24,6.53,6.82,1.54,1.65,3.9,35,5
SB001416,STU00142,2026-03-30,6.94,6.04,1.56,5.34,0.12,28,10
SB001417,STU00142,2026-04-14,2.78,5.88,1.11,3.29,4.89,4,6
SB001418,STU00142,2026-06-01,5.28,5.51,1.24,1.48,4.44,2,2
SB001419,STU00142,2026-06-27,4.58,7.78,3.35,4.02,1.03,0,8
SB001420,STU00142,2026-05-12,5.56,4.6,0.89,5.18,2.09,9,7
SB001421,STU00143,2026-05-12,0.81,4.58,1.85,2.9,0.85,37,9
SB001422,STU00143,2026-02-26,4.08,6.08,4.62,1.05,1.47,9,8
SB001423,STU00143,2026-06-18,4.33,8.89,4.11,5.8,1.56,43,1
SB001424,STU00143,2026-04-27,5.83,4.59,0.09,5.67,0.03,13,2
SB001425,STU00143,2026-03-04,5.23,7.95,3.02,3.0,3.61,20,1
SB001426,STU00143,2026-04-03,4.36,7.17,1.21,4.23,0.92,40,3
SB001427,STU00143,2026-03-29,4.19,7.6,1.61,5.28,4.53,44,6
SB001428,STU00143,2026-05-18,0.72,6.63,0.11,1.08,3.79,17,10
SB001429,STU00143,2026-06-16,1.01,8.15,3.91,4.66,0.68,31,2
SB001430,STU00143,2026-01-19,3.22,5.31,2.48,5.86,4.04,12,7
SB001431,STU00144,2026-02-25,2.43,8.95,2.75,2.42,1.14,22,9
SB001432,STU00144,2026-01-09,4.15,6.21,0.05,2.39,4.59,41,1
SB001433,STU00144,2026-03-31,5.82,6.09,3.1,3.86,2.53,20,3
SB001434,STU00144,2026-05-09,1.81,5.59,2.08,2.33,4.24,5,1
SB001435,STU00144,2026-05-08,4.87,6.65,0.66,5.64,3.97,17,6
SB001436,STU00144,2026-04-27,6.0,6.72,1.12,0.97,4.06,4,4
SB001437,STU00144,2026-01-29,7.73,6.03,4.89,3.61,0.08,44,6
SB001438,STU00144,2026-04-28,3.33,8.54,3.92,4.16,0.35,11,3
SB001439,STU00144,2026-01-10,7.78,7.88,2.51,5.61,1.75,42,9
SB001440,STU00144,2026-04-29,2.65,5.29,1.23,3.43,1.92,32,7
SB001441,STU00145,2026-06-18,7.86,4.74,2.49,3.69,3.96,2,9
SB001442,STU00145,2026-04-11,7.58,7.74,1.09,4.81,0.1,1,5
SB001443,STU00145,2026-05-06,2.24,7.06,3.66,4.02,2.31,27,10
SB001444,STU00145,2026-04-08,6.72,4.82,1.48,1.82,0.25,39,2
SB001445,STU00145,2026-04-01,6.01,4.9,4.71,5.41,4.93,46,4
SB001446,STU00145,2026-02-22,7.87,7.22,0.9,1.61,3.24,42,10
SB001447,STU00145,2026-06-01,0.96,8.79,1.6,4.03,4.05,42,10
SB001448,STU00145,2026-03-17,4.08,7.07,2.12,2.08,0.97,9,8
SB001449,STU00145,2026-03-15,6.48,6.77,0.98,4.2,1.44,36,10
SB001450,STU00145,2026-03-16,4.02,8.81,2.92,2.13,1.07,15,9
SB001451,STU00146,2026-06-27,1.93,8.7,4.12,4.71,3.37,23,2
SB001452,STU00146,2026-06-26,0.76,7.38,1.75,0.89,4.45,13,3
SB001453,STU00146,2026-05-01,1.19,8.44,4.93,0.61,3.88,4,4
SB001454,STU00146,2026-04-22,7.66,5.32,0.56,4.41,0.06,28,9
SB001455,STU00146,2026-06-15,1.12,6.05,1.39,2.26,4.22,40,3
SB001456,STU00146,2026-04-10,1.52,7.01,0.98,2.94,1.39,40,5
SB001457,STU00146,2026-03-05,5.88,4.58,3.71,2.6,1.22,10,8
SB001458,STU00146,2026-03-10,2.3,8.49,3.59,1.51,3.64,43,7
SB001459,STU00146,2026-02-17,4.31,7.61,1.77,1.9,4.15,32,7
SB001460,STU00146,2026-01-15,4.41,8.5,2.95,1.46,2.29,32,4
SB001461,STU00147,2026-01-26,3.29,8.09,2.94,1.12,2.69,14,1
SB001462,STU00147,2026-01-14,5.91,5.29,0.78,4.52,4.29,39,2
SB001463,STU00147,2026-03-07,2.15,6.82,4.88,5.48,2.3,23,9
SB001464,STU00147,2026-06-24,7.21,4.94,1.44,4.14,2.71,5,5
SB001465,STU00147,2026-05-22,6.46,6.52,0.96,5.71,3.44,8,8
SB001466,STU00147,2026-05-17,2.58,6.07,1.2,1.95,3.47,4,7
SB001467,STU00147,2026-03-03,7.9,7.5,2.42,4.83,0.94,31,10
SB001468,STU00147,2026-01-25,5.85,4.79,2.27,1.87,4.23,4,9
SB001469,STU00147,2026-06-19,7.32,6.6,4.39,5.02,0.31,31,10
SB001470,STU00147,2026-06-22,2.08,7.15,1.42,5.38,1.42,2,9
SB001471,STU00148,2026-05-19,5.0,7.69,2.58,0.9,2.63,26,5
SB001472,STU00148,2026-05-15,3.83,5.8,2.38,2.57,3.66,16,1
SB001473,STU00148,2026-06-01,3.25,8.62,2.32,2.24,0.85,40,8
SB001474,STU00148,2026-01-07,6.15,6.91,4.9,3.46,1.08,42,5
SB001475,STU00148,2026-03-29,5.24,4.91,0.52,1.58,1.97,29,4
SB001476,STU00148,2026-03-11,7.39,6.64,3.67,4.92,2.08,3,1
SB001477,STU00148,2026-03-17,3.82,6.78,3.11,1.23,2.59,5,2
SB001478,STU00148,2026-02-16,7.5,6.69,4.22,5.21,3.05,39,6
SB001479,STU00148,2026-06-19,6.35,8.88,1.18,3.31,1.53,15,7
SB001480,STU00148,2026-05-30,4.48,8.05,1.69,2.05,3.7,27,7
SB001481,STU00149,2026-06-24,5.1,5.17,4.69,3.47,3.48,0,9
SB001482,STU00149,2026-05-16,5.07,5.84,1.46,3.79,2.72,33,6
SB001483,STU00149,2026-02-21,5.15,7.72,3.97,3.94,2.73,27,2
SB001484,STU00149,2026-05-17,1.67,8.21,5.0,2.34,3.89,28,3
SB001485,STU00149,2026-06-04,4.76,5.24,1.93,5.84,4.77,41,1
SB001486,STU00149,2026-02-06,5.57,8.42,4.71,3.81,3.39,50,3
SB001487,STU00149,2026-02-16,0.83,8.16,0.07,3.7,4.29,28,6
SB001488,STU00149,2026-05-27,0.76,5.97,3.03,2.34,4.48,11,2
SB001489,STU00149,2026-02-08,0.55,7.63,1.17,2.93,1.3,7,5
SB001490,STU00149,2026-05-11,0.63,6.66,4.75,2.52,3.44,34,7
SB001491,STU00150,2026-05-12,6.73,5.63,4.01,3.52,3.86,29,5
SB001492,STU00150,2026-03-14,3.88,9.0,2.66,3.64,1.16,27,4
SB001493,STU00150,2026-06-27,5.29,6.21,0.29,1.43,3.7,50,6
SB001494,STU00150,2026-04-06,7.52,5.08,4.97,4.17,0.52,2,3
SB001495,STU00150,2026-06-05,4.78,8.02,3.37,2.07,1.18,21,9
SB001496,STU00150,2026-04-19,6.92,7.46,4.03,0.99,1.67,38,8
SB001497,STU00150,2026-01-17,1.33,7.08,3.58,2.63,0.72,4,10
SB001498,STU00150,2026-06-04,2.08,7.22,4.78,4.21,2.8,4,4
SB001499,STU00150,2026-02-03,2.56,8.0,4.48,2.75,3.62,15,5
SB001500,STU00150,2026-01-17,1.29,5.3,3.25,1.92,2.85,12,5
SB001501,STU00151,2026-03-10,7.58,8.87,3.87,3.69,0.68,47,3
SB001502,STU00151,2026-03-02,3.31,6.92,4.34,3.81,2.91,30,7
SB001503,STU00151,2026-02-11,2.68,7.32,0.01,4.86,4.15,9,10
SB001504,STU00151,2026-06-08,5.62,6.02,3.37,4.47,2.14,6,5
SB001505,STU00151,2026-01-23,6.19,5.61,3.47,3.99,3.48,25,4
SB001506,STU00151,2026-02-24,5.13,6.84,1.68,2.84,3.71,2,3
SB001507,STU00151,2026-03-19,4.44,7.26,2.86,4.6,2.06,50,7
SB001508,STU00151,2026-04-18,5.66,6.6,2.93,5.89,2.81,29,5
SB001509,STU00151,2026-06-23,6.29,7.5,4.83,1.68,2.5,27,2
SB001510,STU00151,2026-04-06,4.04,9.0,1.78,5.88,3.25,50,7
SB001511,STU00152,2026-02-28,0.85,5.83,2.32,4.74,4.73,12,1
SB001512,STU00152,2026-01-01,7.91,6.11,4.05,5.0,1.15,44,4
SB001513,STU00152,2026-06-06,5.17,5.81,2.75,2.41,2.66,21,9
SB001514,STU00152,2026-03-21,6.43,7.61,2.02,4.32,0.9,20,1
SB001515,STU00152,2026-05-10,1.86,6.9,0.63,5.69,4.9,31,5
SB001516,STU00152,2026-06-06,3.62,5.67,0.5,4.21,3.86,9,7
SB001517,STU00152,2026-01-08,3.14,5.27,1.87,5.59,1.2,29,10
SB001518,STU00152,2026-03-14,4.74,7.41,0.13,1.34,1.42,9,3
SB001519,STU00152,2026-05-31,0.68,5.57,1.98,0.76,2.24,9,7
SB001520,STU00152,2026-03-27,3.01,4.92,4.52,1.95,3.17,7,8
SB001521,STU00153,2026-04-27,1.33,6.14,2.77,4.65,2.34,3,9
SB001522,STU00153,2026-06-08,3.54,8.32,0.83,4.7,2.73,17,5
SB001523,STU00153,2026-05-27,5.06,5.07,0.96,5.8,1.33,11,1
SB001524,STU00153,2026-03-09,1.68,7.13,3.08,3.09,3.92,25,4
SB001525,STU00153,2026-02-13,3.67,4.53,4.54,1.44,4.13,13,9
SB001526,STU00153,2026-05-07,4.27,6.96,2.97,1.64,4.99,43,3
SB001527,STU00153,2026-01-18,3.65,5.69,1.28,3.85,3.48,5,1
SB001528,STU00153,2026-03-05,4.01,6.44,4.53,4.96,3.65,1,3
SB001529,STU00153,2026-03-04,7.58,5.94,3.4,3.53,3.8,13,8
SB001530,STU00153,2026-05-01,3.58,5.07,0.85,1.33,1.42,38,3
SB001531,STU00154,2026-03-07,5.34,7.13,4.76,1.25,4.87,5,2
SB001532,STU00154,2026-03-19,2.05,7.68,4.74,2.08,3.74,50,6
SB001533,STU00154,2026-03-05,4.89,7.37,0.5,3.83,4.23,49,2
SB001534,STU00154,2026-04-26,7.15,4.88,3.64,4.18,3.82,39,9
SB001535,STU00154,2026-05-28,5.25,4.71,0.82,5.52,0.07,5,1
SB001536,STU00154,2026-04-09,4.56,6.43,2.51,2.66,0.02,44,7
SB001537,STU00154,2026-04-09,1.78,7.68,3.9,1.76,1.05,34,3
SB001538,STU00154,2026-02-02,2.42,6.51,1.52,2.99,4.58,41,7
SB001539,STU00154,2026-03-12,2.15,5.72,0.16,4.21,0.17,37,6
SB001540,STU00154,2026-03-25,5.8,7.01,3.22,4.7,2.36,28,8
SB001541,STU00155,2026-02-11,7.78,5.67,4.14,5.38,0.82,46,3
SB001542,STU00155,2026-03-13,3.58,7.56,2.33,5.26,2.85,25,3
SB001543,STU00155,2026-06-02,4.54,4.63,4.71,4.9,1.38,5,6
SB001544,STU00155,2026-04-08,7.41,5.04,3.46,3.5,3.53,26,2
SB001545,STU00155,2026-01-01,4.27,5.63,3.49,2.41,2.26,18,6
SB001546,STU00155,2026-02-27,1.67,4.86,1.88,1.12,1.45,19,9
SB001547,STU00155,2026-06-22,2.46,7.22,4.02,2.01,2.99,49,4
SB001548,STU00155,2026-03-28,6.01,8.88,3.95,1.76,4.48,33,4
