assignment_id,student_id,subject,total_assignments,submitted_assignments,completion_percentage,average_assignment_score
ASG00464,STU00093,Machine Learning,11,8,72.73,58.99
ASG00465,STU00093,Operating Systems,10,7,70.0,86.76
ASG00466,STU00094,Big Data Analytics,10,6,60.0,54.83
ASG00467,STU00094,Computer Networks,11,3,27.27,70.58
ASG00468,STU00094,Database Management,10,10,100.0,99.24
ASG00469,STU00094,Machine Learning,11,9,81.82,58.39
ASG00470,STU00094,Operating Systems,10,3,30.0,94.5
ASG00471,STU00095,Big Data Analytics,12,6,50.0,75.71
ASG00472,STU00095,Computer Networks,10,4,40.0,38.37
ASG00473,STU00095,Database Management,8,8,100.0,93.35
ASG00474,STU00095,Machine Learning,11,9,81.82,90.71
ASG00475,STU00095,Operating Systems,8,5,62.5,52.26
ASG00476,STU00096,Big Data Analytics,8,6,75.0,79.39
ASG00477,STU00096,Computer Networks,12,8,66.67,42.48
ASG00478,STU00096,Database Management,10,10,100.0,43.21
ASG00479,STU00096,Machine Learning,12,12,100.0,62.82
ASG00480,STU00096,Operating Systems,11,8,72.73,87.05
ASG00481,STU00097,Big Data Analytics,10,5,50.0,78.6
ASG00482,STU00097,Computer Networks,9,6,66.67,60.31
ASG00483,STU00097,Database Management,12,3,25.0,97.01
ASG00484,STU00097,Machine Learning,10,6,60.0,67.3
ASG00485,STU00097,Operating Systems,10,10,100.0,97.16
ASG00486,STU00098,Big Data Analytics,9,4,44.44,98.32
ASG00487,STU00098,Computer Networks,12,11,91.67,70.73
ASG00488,STU00098,Database Management,12,12,100.0,81.27
ASG00489,STU00098,Machine Learning,10,9,90.0,66.32
ASG00490,STU00098,Operating Systems,11,10,90.91,58.69
ASG00491,STU00099,Big Data Analytics,11,3,27.27,71.02
ASG00492,STU00099,Computer Networks,8,7,87.5,78.85
ASG00493,STU00099,Database Management,10,8,80.0,85.75
ASG00494,STU00099,Machine Learning,12,8,66.67,78.67
ASG00495,STU00099,Operating Systems,8,3,37.5,79.95
ASG00496,STU00100,Big Data Analytics,12,11,91.67,49.86
ASG00497,STU00100,Computer Networks,12,9,75.0,73.73
ASG00498,STU00100,Database Management,9,5,55.56,70.22
ASG00499,STU00100,Machine Learning,9,4,44.44,56.5
ASG00500,STU00100,Operating Systems,9,4,44.44,44.51
ASG00501,STU00101,Big Data Analytics,10,3,30.0,74.23
ASG00502,STU00101,Computer Networks,12,6,50.0,45.38
ASG00503,STU00101,Database Management,11,8,72.73,67.48
ASG00504,STU00101,Machine Learning,10,6,60.0,65.85
ASG00505,STU00101,Operating Systems,9,8,88.89,59.01
ASG00506,STU00102,Big Data Analytics,11,8,72.73,78.26
ASG00507,STU00102,Computer Networks,9,9,100.0,72.86
ASG00508,STU00102,Database Management,12,5,41.67,80.78
ASG00509,STU00102,Machine Learning,11,8,72.73,54.52
ASG00510,STU00102,Operating Systems,8,6,75.0,41.58
ASG00511,STU00103,Big Data Analytics,10,3,30.0,84.4
ASG00512,STU00103,Computer Networks,12,6,50.0,39.82
ASG00513,STU00103,Database Management,12,3,25.0,58.37
ASG00514,STU00103,Machine Learning,12,8,66.67,73.5
ASG00515,STU00103,Operating Systems,8,3,37.5,62.45
ASG00516,STU00104,Big Data Analytics,9,3,33.33,58.21
ASG00517,STU00104,Computer Networks,9,8,88.89,47.2
ASG00518,STU00104,Database Management,9,7,77.78,54.89
ASG00519,STU00104,Machine Learning,10,7,70.0,72.38
ASG00520,STU00104,Operating Systems,10,5,50.0,66.42
ASG00521,STU00105,Big Data Analytics,10,3,30.0,82.53
ASG00522,STU00105,Computer Networks,8,7,87.5,77.21
ASG00523,STU00105,Database Management,12,11,91.67,99.76
ASG00524,STU00105,Machine Learning,9,8,88.89,59.98
ASG00525,STU00105,Operating Systems,12,10,83.33,45.44
ASG00526,STU00106,Big Data Analytics,9,9,100.0,78.05
ASG00527,STU00106,Computer Networks,10,6,60.0,67.41
ASG00528,STU00106,Database Management,12,10,83.33,52.51
ASG00529,STU00106,Machine Learning,8,5,62.5,76.81
ASG00530,STU00106,Operating Systems,9,6,66.67,54.54
ASG00531,STU00107,Big Data Analytics,9,7,77.78,62.16
ASG00532,STU00107,Computer Networks,9,6,66.67,63.76
ASG00533,STU00107,Database Management,9,4,44.44,40.35
ASG00534,STU00107,Machine Learning,9,9,100.0,73.32
ASG00535,STU00107,Operating Systems,10,9,90.0,82.49
ASG00536,STU00108,Big Data Analytics,9,3,33.33,52.04
ASG00537,STU00108,Computer Networks,8,4,50.0,91.67
ASG00538,STU00108,Database Management,10,9,90.0,64.81
ASG00539,STU00108,Machine Learning,9,5,55.56,75.9
ASG00540,STU00108,Operating Systems,11,7,63.64,67.03
ASG00541,STU00109,Big Data Analytics,9,5,55.56,84.92
ASG00542,STU00109,Computer Networks,9,6,66.67,90.48
ASG00543,STU00109,Database Management,11,9,81.82,74.75
ASG00544,STU00109,Machine Learning,12,6,50.0,46.97
ASG00545,STU00109,Operating Systems,10,4,40.0,68.21
ASG00546,STU00110,Big Data Analytics,11,6,54.55,68.72
ASG00547,STU00110,Computer Networks,8,7,87.5,88.77
ASG00548,STU00110,Database Management,10,3,30.0,49.56
ASG00549,STU00110,Machine Learning,9,4,44.44,81.9
ASG00550,STU00110,Operating Systems,9,7,77.78,93.15
ASG00551,STU00111,Big Data Analytics,12,6,50.0,77.69
ASG00552,STU00111,Computer Networks,8,5,62.5,62.02
ASG00553,STU00111,Database Management,12,9,75.0,91.69
ASG00554,STU00111,Machine Learning,8,5,62.5,46.54
ASG00555,STU00111,Operating Systems,11,6,54.55,79.33
ASG00556,STU00112,Big Data Analytics,8,4,50.0,99.23
ASG00557,STU00112,Computer Networks,12,9,75.0,70.64
ASG00558,STU00112,Database Management,9,5,55.56,69.07
ASG00559,STU00112,Machine Learning,10,10,100.0,54.86
ASG00560,STU00112,Operating Systems,8,7,87.5,45.23
ASG00561,STU00113,Big Data Analytics,11,5,45.45,97.84
ASG00562,STU00113,Computer Networks,8,7,87.5,79.55
ASG00563,STU00113,Database Management,8,4,50.0,40.51
ASG00564,STU00113,Machine Learning,10,7,70.0,94.42
ASG00565,STU00113,Operating Systems,8,4,50.0,47.21
ASG00566,STU00114,Big Data Analytics,12,6,50.0,87.74
ASG00567,STU00114,Computer Networks,8,6,75.0,52.05
ASG00568,STU00114,Database Management,8,3,37.5,71.48
ASG00569,STU00114,Machine Learning,12,10,83.33,81.95
ASG00570,STU00114,Operating Systems,9,4,44.44,95.63
ASG00571,STU00115,Big Data Analytics,8,8,100.0,97.05
ASG00572,STU00115,Computer Networks,8,5,62.5,69.45
ASG00573,STU00115,Database Management,11,4,36.36,87.37
ASG00574,STU00115,Machine Learning,9,3,33.33,74.99
ASG00575,STU00115,Operating Systems,11,7,63.64,69.17
ASG00576,STU00116,Big Data Analytics,10,5,50.0,62.69
ASG00577,STU00116,Computer Networks,8,8,100.0,93.6
ASG00578,STU00116,Database Management,12,6,50.0,80.9
ASG00579,STU00116,Machine Learning,12,9,75.0,91.21
ASG00580,STU00116,Operating Systems,11,6,54.55,85.51
ASG00581,STU00117,Big Data Analytics,9,7,77.78,53.73
ASG00582,STU00117,Computer Networks,9,6,66.67,66.81
ASG00583,STU00117,Database Management,10,6,60.0,47.38
ASG00584,STU00117,Machine Learning,11,7,63.64,61.17
ASG00585,STU00117,Operating Systems,12,4,33.33,95.29
ASG00586,STU00118,Big Data Analytics,8,8,100.0,44.3
ASG00587,STU00118,Computer Networks,11,6,54.55,98.03
ASG00588,STU00118,Database Management,8,6,75.0,46.92
ASG00589,STU00118,Machine Learning,12,11,91.67,86.27
ASG00590,STU00118,Operating Systems,9,7,77.78,54.45
ASG00591,STU00119,Big Data Analytics,8,5,62.5,88.55
ASG00592,STU00119,Computer Networks,9,6,66.67,63.54
ASG00593,STU00119,Database Management,10,10,100.0,79.96
ASG00594,STU00119,Machine Learning,10,6,60.0,88.89
ASG00595,STU00119,Operating Systems,8,6,75.0,73.42
ASG00596,STU00120,Big Data Analytics,9,6,66.67,74.18
ASG00597,STU00120,Computer Networks,11,5,45.45,89.89
ASG00598,STU00120,Database Management,12,5,41.67,76.98
ASG00599,STU00120,Machine Learning,8,3,37.5,35.09
ASG00600,STU00120,Operating Systems,9,4,44.44,81.08
ASG00601,STU00121,Big Data Analytics,11,4,36.36,54.8
ASG00602,STU00121,Computer Networks,9,8,88.89,95.08
ASG00603,STU00121,Database Management,10,6,60.0,94.2
ASG00604,STU00121,Machine Learning,8,3,37.5,72.29
ASG00605,STU00121,Operating Systems,9,8,88.89,49.06
ASG00606,STU00122,Big Data Analytics,12,6,50.0,83.33
ASG00607,STU00122,Computer Networks,12,10,83.33,47.24
ASG00608,STU00122,Database Management,10,7,70.0,42.49
ASG00609,STU00122,Machine Learning,9,3,33.33,68.91
ASG00610,STU00122,Operating Systems,12,3,25.0,85.72
ASG00611,STU00123,Big Data Analytics,12,8,66.67,99.88
ASG00612,STU00123,Computer Networks,10,6,60.0,37.01
ASG00613,STU00123,Database Management,12,7,58.33,73.95
ASG00614,STU00123,Machine Learning,10,6,60.0,64.51
ASG00615,STU00123,Operating Systems,10,9,90.0,74.45
ASG00616,STU00124,Big Data Analytics,12,8,66.67,84.52
ASG00617,STU00124,Computer Networks,11,5,45.45,96.75
ASG00618,STU00124,Database Management,8,4,50.0,42.22
ASG00619,STU00124,Machine Learning,9,4,44.44,78.23
ASG00620,STU00124,Operating Systems,10,3,30.0,68.63
ASG00621,STU00125,Big Data Analytics,10,3,30.0,52.28
ASG00622,STU00125,Computer Networks,10,8,80.0,81.66
ASG00623,STU00125,Database Management,11,4,36.36,52.16
ASG00624,STU00125,Machine Learning,10,7,70.0,46.96
ASG00625,STU00125,Operating Systems,10,3,30.0,99.73
ASG00626,STU00126,Big Data Analytics,11,10,90.91,36.37
ASG00627,STU00126,Computer Networks,9,5,55.56,64.84
ASG00628,STU00126,Database Management,8,6,75.0,64.68
ASG00629,STU00126,Machine Learning,8,5,62.5,71.57
ASG00630,STU00126,Operating Systems,8,8,100.0,93.03
ASG00631,STU00127,Big Data Analytics,9,9,100.0,37.76
ASG00632,STU00127,Computer Networks,12,10,83.33,89.14
ASG00633,STU00127,Database Management,10,9,90.0,63.53
ASG00634,STU00127,Machine Learning,10,7,70.0,98.9
ASG00635,STU00127,Operating Systems,12,4,33.33,93.04
ASG00636,STU00128,Big Data Analytics,11,6,54.55,37.24
ASG00637,STU00128,Computer Networks,9,9,100.0,71.98
ASG00638,STU00128,Database Management,11,7,63.64,49.99
ASG00639,STU00128,Machine Learning,9,8,88.89,61.46
ASG00640,STU00128,Operating Systems,11,4,36.36,67.75
ASG00641,STU00129,Big Data Analytics,10,7,70.0,65.65
ASG00642,STU00129,Computer Networks,9,8,88.89,73.87
ASG00643,STU00129,Database Management,11,5,45.45,45.81
ASG00644,STU00129,Machine Learning,9,7,77.78,77.43
ASG00645,STU00129,Operating Systems,10,3,30.0,96.14
ASG00646,STU00130,Big Data Analytics,10,9,90.0,46.76
ASG00647,STU00130,Computer Networks,8,4,50.0,77.19
ASG00648,STU00130,Database Management,10,5,50.0,94.95
ASG00649,STU00130,Machine Learning,12,8,66.67,41.62
ASG00650,STU00130,Operating Systems,11,11,100.0,58.31
ASG00651,STU00131,Big Data Analytics,12,3,25.0,67.51
ASG00652,STU00131,Computer Networks,9,9,100.0,63.95
ASG00653,STU00131,Database Management,9,5,55.56,80.78
ASG00654,STU00131,Machine Learning,10,4,40.0,67.44
ASG00655,STU00131,Operating Systems,8,7,87.5,45.46
ASG00656,STU00132,Big Data Analytics,11,9,81.82,71.02
ASG00657,STU00132,Computer Networks,11,6,54.55,44.17
ASG00658,STU00132,Database Management,12,9,75.0,75.21
ASG00659,STU00132,Machine Learning,10,6,60.0,68.21
ASG00660,STU00132,Operating Systems,9,3,33.33,90.32
ASG00661,STU00133,Big Data Analytics,10,6,60.0,76.92
ASG00662,STU00133,Computer Networks,8,6,75.0,95.26
ASG00663,STU00133,Database Management,11,10,90.91,39.21
ASG00664,STU00133,Machine Learning,8,4,50.0,50.99
ASG00665,STU00133,Operating Systems,10,7,70.0,85.53
ASG00666,STU00134,Big Data Analytics,11,7,63.64,50.28
ASG00667,STU00134,Computer Networks,9,8,88.89,93.58
ASG00668,STU00134,Database Management,11,8,72.73,83.64
ASG00669,STU00134,Machine Learning,9,8,88.89,57.72
ASG00670,STU00134,Operating Systems,10,5,50.0,89.19
ASG00671,STU00135,Big Data Analytics,11,4,36.36,61.88
ASG00672,STU00135,Computer Networks,8,5,62.5,98.03
ASG00673,STU00135,Database Management,8,3,37.5,76.94
ASG00674,STU00135,Machine Learning,12,3,25.0,76.85
ASG00675,STU00135,Operating Systems,10,4,40.0,75.92
ASG00676,STU00136,Big Data Analytics,12,5,41.67,50.22
ASG00677,STU00136,Computer Networks,9,4,44.44,95.49
ASG00678,STU00136,Database Management,12,5,41.67,99.71
ASG00679,STU00136,Machine Learning,12,10,83.33,48.94
ASG00680,STU00136,Operating Systems,10,6,60.0,44.21
ASG00681,STU00137,Big Data Analytics,10,10,100.0,86.6
ASG00682,STU00137,Computer Networks,9,4,44.44,73.78
ASG00683,STU00137,Database Management,11,3,27.27,85.51
ASG00684,STU00137,Machine Learning,11,8,72.73,86.93
ASG00685,STU00137,Operating Systems,11,8,72.73,66.29
ASG00686,STU00138,Big Data Analytics,9,8,88.89,88.1
ASG00687,STU00138,Computer Networks,8,6,75.0,66.68
ASG00688,STU00138,Database Management,11,8,72.73,48.04
ASG00689,STU00138,Machine Learning,10,7,70.0,51.91
ASG00690,STU00138,Operating Systems,9,6,66.67,37.17
ASG00691,STU00139,Big Data Analytics,8,7,87.5,94.11
ASG00692,STU00139,Computer Networks,11,8,72.73,35.27
ASG00693,STU00139,Database Management,12,6,50.0,91.36
ASG00694,STU00139,Machine Learning,10,9,90.0,63.06
ASG00695,STU00139,Operating Systems,11,6,54.55,43.22
ASG00696,STU00140,Big Data Analytics,11,10,90.91,70.67
ASG00697,STU00140,Computer Networks,12,5,41.67,89.16
ASG00698,STU00140,Database Management,10,6,60.0,79.17
ASG00699,STU00140,Machine Learning,8,3,37.5,44.76
ASG00700,STU00140,Operating Systems,10,7,70.0,78.88
ASG00701,STU00141,Big Data Analytics,12,12,100.0,54.96
ASG00702,STU00141,Computer Networks,12,12,100.0,95.44
ASG00703,STU00141,Database Management,11,7,63.64,39.05
ASG00704,STU00141,Machine Learning,8,8,100.0,98.87
ASG00705,STU00141,Operating Systems,10,5,50.0,58.4
ASG00706,STU00142,Big Data Analytics,12,6,50.0,62.51
ASG00707,STU00142,Computer Networks,9,5,55.56,40.26
ASG00708,STU00142,Database Management,12,9,75.0,40.01
ASG00709,STU00142,Machine Learning,12,5,41.67,79.7
ASG00710,STU00142,Operating Systems,11,10,90.91,82.74
ASG00711,STU00143,Big Data Analytics,10,3,30.0,40.04
ASG00712,STU00143,Computer Networks,9,9,100.0,68.59
ASG00713,STU00143,Database Management,11,4,36.36,81.91
ASG00714,STU00143,Machine Learning,10,9,90.0,79.92
ASG00715,STU00143,Operating Systems,10,9,90.0,40.62
ASG00716,STU00144,Big Data Analytics,12,8,66.67,88.12
ASG00717,STU00144,Computer Networks,12,3,25.0,65.76
ASG00718,STU00144,Database Management,11,6,54.55,84.13
ASG00719,STU00144,Machine Learning,11,9,81.82,93.78
ASG00720,STU00144,Operating Systems,10,8,80.0,81.8
ASG00721,STU00145,Big Data Analytics,12,9,75.0,36.93
ASG00722,STU00145,Computer Networks,12,11,91.67,82.78
ASG00723,STU00145,Database Management,9,3,33.33,93.93
ASG00724,STU00145,Machine Learning,10,7,70.0,71.09
ASG00725,STU00145,Operating Systems,10,9,90.0,95.05
ASG00726,STU00146,Big Data Analytics,11,3,27.27,89.01
ASG00727,STU00146,Computer Networks,12,5,41.67,85.39
ASG00728,STU00146,Database Management,10,6,60.0,59.16
ASG00729,STU00146,Machine Learning,8,5,62.5,84.46
ASG00730,STU00146,Operating Systems,9,5,55.56,88.69
ASG00731,STU00147,Big Data Analytics,10,6,60.0,67.38
ASG00732,STU00147,Computer Networks,8,6,75.0,89.74
ASG00733,STU00147,Database Management,10,10,100.0,68.34
ASG00734,STU00147,Machine Learning,9,6,66.67,71.38
ASG00735,STU00147,Operating Systems,8,6,75.0,82.18
ASG00736,STU00148,Big Data Analytics,8,3,37.5,96.96
ASG00737,STU00148,Computer Networks,8,5,62.5,69.46
ASG00738,STU00148,Database Management,10,7,70.0,88.65
ASG00739,STU00148,Machine Learning,11,4,36.36,71.23
ASG00740,STU00148,Operating Systems,8,6,75.0,59.79
ASG00741,STU00149,Big Data Analytics,12,7,58.33,38.42
ASG00742,STU00149,Computer Networks,8,6,75.0,45.68
ASG00743,STU00149,Database Management,9,3,33.33,66.93
ASG00744,STU00149,Machine Learning,11,5,45.45,60.68
ASG00745,STU00149,Operating Systems,9,5,55.56,96.1
ASG00746,STU00150,Big Data Analytics,8,3,37.5,84.71
ASG00747,STU00150,Computer Networks,9,6,66.67,93.39
ASG00748,STU00150,Database Management,8,8,100.0,71.2
ASG00749,STU00150,Machine Learning,8,6,75.0,73.34
ASG00750,STU00150,Operating Systems,9,8,88.89,75.29
ASG00751,STU00151,Big Data Analytics,11,6,54.55,80.64
ASG00752,STU00151,Computer Networks,10,3,30.0,66.33
ASG00753,STU00151,Database Management,8,6,75.0,37.87
ASG00754,STU00151,Machine Learning,11,10,90.91,73.41
ASG00755,STU00151,Operating Systems,9,8,88.89,54.26
ASG00756,STU00152,Big Data Analytics,9,5,55.56,62.59
ASG00757,STU00152,Computer Networks,10,5,50.0,62.72
ASG00758,STU00152,Database Management,10,8,80.0,81.59
ASG00759,STU00152,Machine Learning,9,6,66.67,70.38
ASG00760,STU00152,Operating Systems,12,6,50.0,41.82
ASG00761,STU00153,Big Data Analytics,10,4,40.0,59.68
ASG00762,STU00153,Computer Networks,8,7,87.5,52.65
ASG00763,STU00153,Database Management,12,7,58.33,81.73
ASG00764,STU00153,Machine Learning,8,5,62.5,93.08
ASG00765,STU00153,Operating Systems,11,8,72.73,44.32
ASG00766,STU00154,Big Data Analytics,12,12,100.0,84.24
ASG00767,STU00154,Computer Networks,10,4,40.0,58.5
ASG00768,STU00154,Database Management,9,5,55.56,79.89
ASG00769,STU00154,Machine Learning,8,4,50.0,91.82
ASG00770,STU00154,Operating Systems,8,5,62.5,50.81
ASG00771,STU00155,Big Data Analytics,8,5,62.5,94.22
ASG00772,STU00155,Computer Networks,10,10,100.0,55.75
ASG00773,STU00155,Database Management,12,10,83.33,95.11
ASG00774,STU00155,Machine Learning,11,9,81.82,93.93
ASG00775,STU00155,Operating Systems,11,3,27.27,80.4
ASG00776,STU00156,Big Data Analytics,8,7,87.5,95.16
ASG00777,STU00156,Computer Networks,8,3,37.5,57.82
ASG00778,STU00156,Database Management,10,6,60.0,75.14
ASG00779,STU00156,Machine Learning,11,7,63.64,45.44
ASG00780,STU00156,Operating Systems,9,7,77.78,57.75
ASG00781,STU00157,Big Data Analytics,8,5,62.5,82.19
ASG00782,STU00157,Computer Networks,9,9,100.0,69.91
ASG00783,STU00157,Database Management,12,3,25.0,50.45
ASG00784,STU00157,Machine Learning,8,3,37.5,54.53
ASG00785,STU00157,Operating Systems,11,8,72.73,74.07
ASG00786,STU00158,Big Data Analytics,8,4,50.0,78.19
ASG00787,STU00158,Computer Networks,10,3,30.0,99.51
ASG00788,STU00158,Database Management,8,8,100.0,39.93
ASG00789,STU00158,Machine Learning,8,3,37.5,97.45
ASG00790,STU00158,Operating Systems,10,4,40.0,98.1
ASG00791,STU00159,Big Data Analytics,12,5,41.67,82.15
ASG00792,STU00159,Computer Networks,9,5,55.56,95.0
ASG00793,STU00159,Database Management,12,6,50.0,55.31
ASG00794,STU00159,Machine Learning,12,4,33.33,84.74
ASG00795,STU00159,Operating Systems,10,7,70.0,48.64
ASG00796,STU00160,Big Data Analytics,8,8,100.0,36.52
ASG00797,STU00160,Computer Networks,12,7,58.33,58.98
ASG00798,STU00160,Database Management,9,8,88.89,45.34
ASG00799,STU00160,Machine Learning,11,7,63.64,51.83
ASG00800,STU00160,Operating Systems,11,5,45.45,43.9
ASG00801,STU00161,Big Data Analytics,9,8,88.89,40.96
ASG00802,STU00161,Computer Networks,11,8,72.73,36.74
ASG00803,STU00161,Database Management,11,7,63.64,88.04
ASG00804,STU00161,Machine Learning,11,5,45.45,69.09
ASG00805,STU00161,Operating Systems,9,4,44.44,80.62
ASG00806,STU00162,Big Data Analytics,8,4,50.0,55.47
ASG00807,STU00162,Computer Networks,11,8,72.73,49.63
ASG00808,STU00162,Database Management,12,10,83.33,65.7
ASG00809,STU00162,Machine Learning,8,4,50.0,72.1
ASG00810,STU00162,Operating Systems,9,7,77.78,80.1
ASG00811,STU00163,Big Data Analytics,10,10,100.0,56.69
ASG00812,STU00163,Computer Networks,10,8,80.0,53.0
ASG00813,STU00163,Database Management,11,4,36.36,57.84
ASG00814,STU00163,Machine Learning,9,9,100.0,86.5
ASG00815,STU00163,Operating Systems,9,9,100.0,98.03
ASG00816,STU00164,Big Data Analytics,8,7,87.5,58.51
ASG00817,STU00164,Computer Networks,12,11,91.67,92.28
ASG00818,STU00164,Database Management,8,7,87.5,82.57
ASG00819,STU00164,Machine Learning,11,5,45.45,65.69
ASG00820,STU00164,Operating Systems,11,3,27.27,55.69
ASG00821,STU00165,Big Data Analytics,8,8,100.0,43.17
ASG00822,STU00165,Computer Networks,10,9,90.0,89.08
ASG00823,STU00165,Database Management,11,11,100.0,56.94
ASG00824,STU00165,Machine Learning,8,7,87.5,36.33
ASG00825,STU00165,Operating Systems,10,4,40.0,86.39
ASG00826,STU00166,Big Data Analytics,11,11,100.0,75.01
ASG00827,STU00166,Computer Networks,8,5,62.5,65.68
ASG00828,STU00166,Database Management,9,4,44.44,90.76
ASG00829,STU00166,Machine Learning,10,7,70.0,61.88
ASG00830,STU00166,Operating Systems,10,4,40.0,78.34
ASG00831,STU00167,Big Data Analytics,8,4,50.0,45.91
ASG00832,STU00167,Computer Networks,12,4,33.33,93.13
ASG00833,STU00167,Database Management,12,12,100.0,80.24
ASG00834,STU00167,Machine Learning,9,8,88.89,60.63
ASG00835,STU00167,Operating Systems,9,8,88.89,63.36
ASG00836,STU00168,Big Data Analytics,12,11,91.67,90.12
ASG00837,STU00168,Computer Networks,12,4,33.33,98.84
ASG00838,STU00168,Database Management,10,7,70.0,53.97
ASG00839,STU00168,Machine Learning,11,5,45.45,61.03
ASG00840,STU00168,Operating Systems,11,9,81.82,73.82
ASG00841,STU00169,Big Data Analytics,12,11,91.67,66.2
ASG00842,STU00169,Computer Networks,12,10,83.33,86.43
ASG00843,STU00169,Database Management,12,10,83.33,70.64
ASG00844,STU00169,Machine Learning,11,3,27.27,54.46
ASG00845,STU00169,Operating Systems,11,10,90.91,79.02
ASG00846,STU00170,Big Data Analytics,8,4,50.0,38.93
ASG00847,STU00170,Computer Networks,9,3,33.33,47.63
ASG00848,STU00170,Database Management,9,7,77.78,43.94
ASG00849,STU00170,Machine Learning,12,6,50.0,86.65
ASG00850,STU00170,Operating Systems,8,3,37.5,38.76
ASG00851,STU00171,Big Data Analytics,8,6,75.0,74.94
ASG00852,STU00171,Computer Networks,8,3,37.5,90.57
ASG00853,STU00171,Database Management,8,7,87.5,93.35
ASG00854,STU00171,Machine Learning,8,8,100.0,39.33
ASG00855,STU00171,Operating Systems,12,4,33.33,63.46
ASG00856,STU00172,Big Data Analytics,12,10,83.33,81.47
ASG00857,STU00172,Computer Networks,11,4,36.36,97.92
ASG00858,STU00172,Database Management,10,10,100.0,46.52
ASG00859,STU00172,Machine Learning,10,10,100.0,88.2
ASG00860,STU00172,Operating Systems,10,7,70.0,63.48
ASG00861,STU00173,Big Data Analytics,12,3,25.0,46.67
ASG00862,STU00173,Computer Networks,9,4,44.44,99.99
ASG00863,STU00173,Database Management,12,6,50.0,71.84
ASG00864,STU00173,Machine Learning,12,3,25.0,75.99
ASG00865,STU00173,Operating Systems,11,10,90.91,88.48
ASG00866,STU00174,Big Data Analytics,12,5,41.67,37.73
ASG00867,STU00174,Computer Networks,9,3,33.33,73.64
ASG00868,STU00174,Database Management,11,7,63.64,48.76
ASG00869,STU00174,Machine Learning,9,8,88.89,56.59
ASG00870,STU00174,Operating Systems,10,3,30.0,95.8
ASG00871,STU00175,Big Data Analytics,9,9,100.0,48.36
ASG00872,STU00175,Computer Networks,10,5,50.0,35.29
ASG00873,STU00175,Database Management,11,9,81.82,88.38
ASG00874,STU00175,Machine Learning,9,6,66.67,63.33
ASG00875,STU00175,Operating Systems,8,4,50.0,95.18
ASG00876,STU00176,Big Data Analytics,9,8,88.89,82.42
ASG00877,STU00176,Computer Networks,8,6,75.0,67.15
ASG00878,STU00176,Database Management,9,8,88.89,74.04
ASG00879,STU00176,Machine Learning,9,3,33.33,66.53
ASG00880,STU00176,Operating Systems,11,4,36.36,84.26
ASG00881,STU00177,Big Data Analytics,10,3,30.0,58.18
ASG00882,STU00177,Computer Networks,9,9,100.0,93.36
ASG00883,STU00177,Database Management,9,4,44.44,53.98
ASG00884,STU00177,Machine Learning,11,4,36.36,67.38
ASG00885,STU00177,Operating Systems,10,9,90.0,56.8
ASG00886,STU00178,Big Data Analytics,11,5,45.45,49.49
ASG00887,STU00178,Computer Networks,10,9,90.0,74.42
ASG00888,STU00178,Database Management,9,6,66.67,75.02
ASG00889,STU00178,Machine Learning,12,6,50.0,86.02
ASG00890,STU00178,Operating Systems,8,5,62.5,70.58
ASG00891,STU00179,Big Data Analytics,8,7,87.5,67.07
ASG00892,STU00179,Computer Networks,10,9,90.0,97.57
ASG00893,STU00179,Database Management,8,5,62.5,78.91
ASG00894,STU00179,Machine Learning,12,11,91.67,80.12
ASG00895,STU00179,Operating Systems,9,5,55.56,99.57
ASG00896,STU00180,Big Data Analytics,11,8,72.73,66.59
ASG00897,STU00180,Computer Networks,8,6,75.0,50.29
ASG00898,STU00180,Database Management,12,11,91.67,92.84
ASG00899,STU00180,Machine Learning,9,7,77.78,43.6
ASG00900,STU00180,Operating Systems,10,5,50.0,77.21
ASG00901,STU00181,Big Data Analytics,12,7,58.33,58.12
ASG00902,STU00181,Computer Networks,10,6,60.0,77.31
ASG00903,STU00181,Database Management,12,12,100.0,49.43
ASG00904,STU00181,Machine Learning,9,3,33.33,84.16
ASG00905,STU00181,Operating Systems,12,6,50.0,93.13
ASG00906,STU00182,Big Data Analytics,10,9,90.0,57.07
ASG00907,STU00182,Computer Networks,9,4,44.44,59.76
ASG00908,STU00182,Database Management,8,3,37.5,79.1
ASG00909,STU00182,Machine Learning,12,8,66.67,38.25
ASG00910,STU00182,Operating Systems,8,7,87.5,39.31
ASG00911,STU00183,Big Data Analytics,12,4,33.33,46.91
ASG00912,STU00183,Computer Networks,10,9,90.0,40.05
ASG00913,STU00183,Database Management,11,5,45.45,62.32
ASG00914,STU00183,Machine Learning,10,9,90.0,49.83
ASG00915,STU00183,Operating Systems,9,7,77.78,92.21
ASG00916,STU00184,Big Data Analytics,11,3,27.27,36.56
ASG00917,STU00184,Computer Networks,11,6,54.55,63.7
ASG00918,STU00184,Database Management,11,3,27.27,59.66
ASG00919,STU00184,Machine Learning,10,9,90.0,50.01
ASG00920,STU00184,Operating Systems,10,8,80.0,96.48
ASG00921,STU00185,Big Data Analytics,11,8,72.73,89.29
ASG00922,STU00185,Computer Networks,9,7,77.78,84.09
ASG00923,STU00185,Database Management,11,11,100.0,53.09
ASG00924,STU00185,Machine Learning,11,10,90.91,79.54
ASG00925,STU00185,Operating Systems,11,3,27.27,36.4
ASG00926,STU00186,Big Data Analytics,9,4,44.44,68.58
ASG00927,STU00186,Computer Networks,8,4,50.0,42.25
ASG00928,STU00186,Database Management,12,3,25.0,68.24
