student_id,total_study_hours,total_sleep_hours,total_library_hours,total_self_study_hours,total_distraction_hours,total_practice_questions,avg_study_consistency
STU00448,40.62,66.22,23.6,29.46,24.19,240,4.7
STU00449,49.12,63.98,14.44,27.64,21.64,337,5.3
STU00450,50.03,65.95,21.59,28.36,12.92,259,4.9
STU00451,45.59,66.06,24.92,32.52,22.82,258,5.6
STU00452,41.96,71.51,29.14,32.63,33.5,306,4.2
STU00453,42.34,68.37,24.84,22.78,28.95,315,5.4
STU00454,49.86,71.18,20.84,37.86,24.31,244,5.9
STU00455,36.35,60.28,20.17,32.27,21.78,288,4.5
STU00456,41.02,70.33,29.21,28.9,17.86,275,5.8
STU00457,50.29,66.62,22.0,20.21,27.79,343,6.1
STU00458,38.79,70.15,25.39,34.86,26.38,231,4.5
STU00459,31.28,66.61,24.88,32.4,17.84,304,4.7
STU00460,35.68,70.16,28.36,37.12,21.46,276,4.8
STU00461,32.89,73.15,24.06,39.66,24.32,238,6.5
STU00462,43.88,62.96,33.34,24.98,26.96,304,6.8
STU00463,32.92,67.45,24.54,30.26,27.5,259,5.5
STU00464,45.36,68.31,29.32,30.79,29.33,218,5.7
STU00465,38.35,65.95,26.85,26.15,26.09,209,4.8
STU00466,36.48,62.26,26.35,36.99,21.39,183,6.4
STU00467,36.0,64.82,26.41,38.06,27.76,154,5.9
STU00468,52.7,75.11,27.83,42.94,27.91,226,5.6
STU00469,40.57,69.95,26.51,30.59,27.89,243,6.7
STU00470,41.85,61.01,28.36,34.44,20.97,197,6.1
STU00471,41.62,74.88,28.24,29.08,28.49,232,4.6
STU00472,36.46,68.82,25.82,32.01,29.69,237,5.6
STU00473,39.17,65.1,22.95,27.35,22.68,240,4.3
STU00474,37.92,69.08,21.44,34.67,23.27,241,5.9
STU00475,44.26,69.4,21.0,22.46,23.27,329,6.8
STU00476,41.66,68.29,26.39,28.79,19.92,331,4.8
STU00477,39.92,63.84,23.54,26.92,20.58,269,4.7
STU00478,33.38,65.48,31.03,38.81,26.22,282,5.2
STU00479,41.04,68.95,23.44,30.43,20.91,223,5.5
STU00480,42.7,66.68,25.92,31.09,26.08,168,5.7
STU00481,29.33,68.53,29.66,31.95,28.38,253,6.0
STU00482,34.9,63.33,23.85,36.71,26.48,245,5.7
STU00483,42.92,68.79,22.74,34.42,28.05,260,5.1
STU00484,32.79,72.14,23.52,25.37,21.52,298,4.9
STU00485,51.96,62.81,24.49,25.87,25.99,248,5.5
STU00486,37.5,67.02,23.21,30.3,21.55,274,5.2
STU00487,36.14,65.7,29.29,37.69,23.54,226,6.2
STU00488,32.38,67.84,18.01,26.64,19.0,305,5.3
STU00489,42.34,76.98,26.51,33.87,26.19,252,5.0
STU00490,48.93,67.27,18.14,29.31,25.46,265,6.4
STU00491,43.88,64.55,32.54,29.59,20.88,204,5.4
STU00492,51.72,71.28,29.31,26.53,25.76,352,4.4
STU00493,29.67,66.17,27.27,35.1,32.85,227,4.9
STU00494,30.61,71.17,25.83,32.35,25.65,209,4.2
STU00495,47.71,63.56,15.65,28.89,25.66,231,6.0
STU00496,37.92,69.4,20.73,36.28,24.81,310,4.0
STU00497,37.18,69.76,23.79,26.45,21.26,237,5.0
STU00498,32.34,72.24,20.68,37.18,20.93,184,6.0
STU00499,55.42,64.29,20.02,36.7,15.1,283,5.0
STU00500,41.55,62.73,24.18,35.57,36.86,238,5.6
