student_id,internal_marks,avg_internal_marks,avg_midterm_marks,avg_final_exam_marks,avg_total_marks,previous_gpa
STU00479,74.69,26.4,21.8,24.8,73.0,8.59
STU00480,55.93,31.0,22.0,23.4,76.4,7.97
STU00481,57.94,29.8,21.4,24.4,75.6,8.62
STU00482,69.15,36.8,20.4,25.4,82.6,8.12
STU00483,68.7,29.0,23.6,27.0,79.6,7.26
STU00484,62.68,25.6,22.8,26.6,75.0,7.29
STU00485,56.65,32.2,23.6,25.4,81.2,7.88
STU00486,62.66,30.6,19.4,23.6,73.6,8.69
STU00487,41.3,29.8,24.0,26.4,80.2,7.99
STU00488,73.68,31.6,22.6,23.4,77.6,9.82
STU00489,71.23,25.8,23.0,24.2,73.0,7.43
STU00490,59.62,26.6,22.0,26.6,75.2,5.13
STU00491,55.16,34.8,19.2,26.2,80.2,5.31
STU00492,52.76,28.2,23.0,25.2,76.4,5.06
STU00493,56.33,29.2,25.8,25.4,80.4,6.64
STU00494,44.68,28.2,21.0,23.0,72.2,7.57
STU00495,58.43,29.8,21.4,26.0,77.2,9.01
STU00496,48.14,30.4,20.0,22.0,72.4,6.57
STU00497,42.58,28.8,25.2,27.0,81.0,8.2
STU00498,56.4,35.8,23.2,25.4,84.4,6.5
STU00499,41.16,31.4,22.2,27.2,80.8,8.79
STU00500,34.36,32.4,25.2,24.2,81.8,4.82
