student_id,avg_attendance,attended_classes,total_classes,assignment_completion_percentage,avg_assignment_completion,avg_assignment_score,submitted_assignments,total_assignments,internal_marks,avg_internal_marks,avg_midterm_marks,avg_final_exam_marks,avg_total_marks,previous_gpa,study_hours_per_day,total_study_hours,total_sleep_hours,total_library_hours,total_self_study_hours,total_distraction_hours,total_practice_questions,avg_study_consistency,total_logins,total_video_minutes,total_resources_viewed,total_quiz_attempts,total_forum_posts,total_session_minutes,risk_level
STU00136,87.51,195,223,54.22,54.22,67.71,30,55,58.33,28.8,22.2,23.8,74.8,6.97,3.88,34.95,66.12,25.49,32.22,31.78,301,3.9,76,1778,153,44,41,2423,Medium
STU00137,67.78,150,222,63.43,63.43,79.82,33,52,50.82,29.6,23.6,25.2,78.4,8.5,4.53,39.93,61.04,18.36,25.26,24.81,256,4.2,74,1944,162,55,57,2496,High
STU00138,83.53,162,193,74.66,74.66,58.38,35,47,74.95,27.8,24.2,26.4,78.4,8.61,6.16,39.27,70.34,15.94,38.14,15.24,258,5.2,57,2087,103,57,44,2011,Low
STU00139,77.79,171,221,70.96,70.96,65.4,36,52,53.16,32.8,23.2,28.2,84.2,4.52,2.84,50.8,70.88,19.46,33.42,26.65,195,5.8,101,1564,135,44,48,2858,High
STU00140,78.34,174,221,60.02,60.02,72.53,31,51,62.19,30.2,25.4,25.4,81.0,5.16,5.49,40.08,65.07,28.23,31.03,19.61,263,5.3,76,1475,137,46,62,2761,High
STU00141,73.85,161,217,82.73,82.73,69.34,44,53,71.42,27.0,24.4,25.6,77.0,8.9,7.84,35.8,58.97,33.11,32.06,27.36,282,6.2,73,1866,178,61,34,2546,Low
STU00142,69.28,145,209,62.63,62.63,61.04,35,56,50.87,30.2,21.0,25.4,76.6,5.41,5.1,54.36,63.1,17.94,32.56,25.52,182,6.4,80,1514,135,68,65,2313,Medium
STU00143,74.85,156,209,69.27,69.27,62.22,34,50,62.68,30.0,25.0,26.8,81.8,8.59,4.14,33.78,66.95,23.01,39.53,21.48,266,4.9,71,2024,156,41,47,2192,Low
STU00144,87.02,190,216,61.61,61.61,82.72,34,56,58.32,32.6,19.6,24.8,77.0,8.0,6.49,46.57,67.95,22.31,34.42,24.63,238,4.9,83,1904,135,53,43,2530,Medium
STU00145,74.62,161,216,72.0,72.0,75.96,39,53,47.34,27.8,23.0,27.0,77.8,7.33,4.36,53.82,67.92,21.95,33.8,22.32,259,7.7,77,1585,177,57,52,2738,High
STU00146,69.96,147,211,49.4,49.4,81.34,24,50,56.65,36.0,20.0,25.2,81.2,6.42,4.77,31.08,72.08,25.75,23.29,28.67,265,5.2,60,2090,116,49,53,2512,High
STU00147,81.43,159,193,75.33,75.33,75.8,34,45,63.04,29.0,24.0,23.6,76.6,7.9,7.52,50.75,63.77,22.7,40.02,25.8,161,7.0,88,2008,176,55,56,2764,Low
STU00148,81.22,173,213,56.27,56.27,77.22,25,45,41.1,28.0,20.8,25.4,74.2,4.83,4.58,53.01,70.97,26.57,27.47,23.14,242,4.6,70,1493,144,39,59,2679,High
STU00149,62.99,148,234,53.53,53.53,61.56,26,49,49.11,29.4,24.0,23.8,77.2,6.77,3.19,30.09,69.02,30.78,34.68,34.49,259,4.4,96,1829,131,48,53,2410,High
STU00150,76.93,181,235,73.61,73.61,79.59,31,42,63.38,23.0,21.4,26.0,70.4,7.29,7.5,42.38,69.0,35.42,27.33,22.08,202,5.9,89,2196,136,50,41,2502,Low
STU00151,77.41,161,209,67.87,67.87,62.5,33,49,62.87,31.6,22.6,23.0,77.2,8.28,6.37,50.94,71.94,29.14,41.71,27.69,275,5.3,59,1745,172,41,54,2527,Medium
STU00152,69.68,147,206,60.45,60.45,63.82,30,50,46.2,31.0,21.6,22.4,75.0,5.59,4.28,37.41,61.1,20.77,36.01,26.23,191,5.5,77,1930,132,47,62,2473,High
STU00153,75.26,177,237,64.21,64.21,66.29,31,49,42.19,25.2,22.6,26.6,74.4,4.59,5.4,38.37,61.29,25.21,34.99,31.79,169,4.6,61,1480,137,59,36,2278,High
STU00154,68.73,150,219,61.61,61.61,73.05,30,47,46.6,32.6,22.0,24.2,78.8,6.48,2.09,41.39,65.12,25.77,33.18,24.91,332,5.1,93,1822,168,54,55,1918,High
STU00155,80.27,182,226,70.98,70.98,83.88,37,52,64.27,29.4,22.8,25.2,77.4,7.95,7.82,43.43,63.49,31.89,33.58,21.73,253,3.9,108,2100,152,47,49,2296,Low
STU00156,68.93,142,204,65.28,65.28,66.26,30,46,49.13,25.2,24.6,24.2,74.0,5.22,3.95,39.36,64.61,17.55,25.84,25.3,231,7.1,85,1944,151,51,66,2202,High
STU00157,84.56,180,215,59.55,59.55,66.23,28,48,49.12,34.2,25.6,23.0,82.8,4.92,6.41,45.72,67.36,19.0,36.87,26.42,237,7.8,77,1439,149,58,48,2540,High
STU00158,73.92,155,209,51.5,51.5,82.64,22,44,65.1,26.8,24.0,26.6,77.4,8.58,5.19,46.68,63.33,18.91,37.84,28.83,163,7.0,85,1921,157,45,52,1994,Low
STU00159,96.66,188,195,50.11,50.11,73.17,27,55,58.92,27.4,20.8,26.0,74.2,6.36,5.84,44.89,70.0,32.37,34.57,26.15,277,6.9,96,1886,96,52,54,1591,Medium
STU00160,65.15,132,201,71.26,71.26,47.31,35,51,47.27,32.0,24.6,26.6,83.2,5.31,3.63,40.32,71.64,22.65,32.48,27.73,333,5.8,78,1648,163,37,50,1957,High
STU00161,60.94,136,225,63.03,63.03,63.09,32,51,55.69,25.2,23.8,24.4,73.4,6.89,2.5,40.57,66.33,15.32,27.24,25.97,275,4.4,76,2173,145,59,59,2492,Medium
STU00162,86.47,184,214,66.77,66.77,64.6,33,48,68.73,28.4,21.4,26.8,76.6,9.05,7.92,49.28,73.59,31.07,35.73,33.17,268,5.9,86,1257,140,51,49,1755,Low
STU00163,81.65,176,219,83.27,83.27,70.41,40,49,57.73,31.4,26.4,23.0,80.8,4.99,5.74,26.01,68.8,16.86,32.09,19.27,284,5.2,80,2024,123,55,44,2628,High
STU00164,74.04,168,225,67.88,67.88,70.95,33,50,55.61,29.2,22.6,25.6,77.4,5.19,4.21,53.63,71.06,26.38,35.88,24.57,227,4.7,82,1936,144,56,64,2667,High
STU00165,78.52,160,203,83.5,83.5,62.38,39,47,63.6,31.6,23.2,25.8,80.6,9.63,6.08,44.12,68.08,14.12,30.69,22.54,298,6.9,90,2080,138,65,51,2219,Low
STU00166,71.7,158,222,63.39,63.39,74.33,31,48,70.28,33.6,20.2,25.6,79.4,8.53,4.9,48.45,71.27,29.23,36.94,22.66,236,6.7,74,1841,183,47,42,2206,Medium
STU00167,68.85,152,219,72.22,72.22,68.65,36,50,57.81,32.8,20.8,21.6,75.2,7.08,4.13,46.04,67.36,22.97,36.35,24.71,262,5.2,97,2271,152,48,40,2796,High
STU00168,79.47,177,221,64.45,64.45,75.56,36,56,59.46,32.0,25.0,25.0,82.0,6.09,5.86,42.36,64.26,27.18,33.27,31.6,198,6.2,66,2029,176,59,50,2370,Medium
STU00169,65.75,154,234,75.3,75.3,71.35,44,58,46.14,33.0,22.4,24.6,80.0,8.34,2.77,42.93,66.57,29.04,27.26,19.42,222,6.4,92,1700,137,32,44,2441,High
STU00170,70.56,160,228,49.72,49.72,51.18,23,46,61.85,30.2,21.2,24.6,76.0,7.99,1.23,36.26,71.2,22.51,33.15,23.53,290,6.6,90,1682,135,60,60,2559,Medium
STU00171,58.25,117,202,66.67,66.67,72.33,28,44,70.44,29.4,24.2,24.0,77.6,8.41,5.83,54.37,71.45,24.72,34.62,26.67,209,5.5,78,1990,156,53,51,2778,Low
STU00172,74.44,159,213,77.94,77.94,75.52,41,53,59.79,28.8,21.0,26.4,76.2,6.96,7.67,39.85,65.67,30.35,35.25,24.85,134,4.8,77,1908,146,51,52,1820,Medium
STU00173,78.79,174,221,47.07,47.07,76.59,26,56,58.53,28.6,18.8,24.2,71.6,7.8,5.65,48.55,67.55,28.22,37.37,22.76,316,6.0,75,1745,172,60,48,2817,Low
STU00174,72.55,166,229,51.51,51.51,62.5,26,51,67.33,33.4,23.0,25.6,82.0,5.57,6.0,38.13,64.82,19.8,33.14,28.61,277,4.5,77,1962,190,44,49,2361,Medium
STU00175,65.88,135,201,69.7,69.7,66.11,33,47,55.94,29.8,23.2,27.2,80.2,8.74,4.03,43.6,68.0,29.38,25.24,16.09,329,6.5,76,2409,152,40,54,3149,Medium
STU00176,68.6,138,202,64.49,64.49,74.88,29,46,76.26,26.8,22.4,25.6,74.8,9.24,7.95,50.96,76.28,23.91,36.04,27.83,278,6.9,76,2076,145,44,43,2739,Low
STU00177,75.27,155,206,60.16,60.16,65.94,29,49,80.49,32.2,20.4,23.8,76.4,7.65,7.98,31.53,69.25,21.4,26.45,20.68,271,6.0,84,1889,138,58,41,2148,Low
STU00178,84.84,175,206,62.92,62.92,71.11,31,50,61.58,34.6,20.0,24.8,79.4,5.04,3.53,48.13,74.61,22.66,30.9,16.63,229,6.3,90,1654,125,47,48,2722,High
STU00179,73.65,162,222,77.45,77.45,84.65,37,47,52.59,26.8,19.0,25.8,71.6,4.86,4.7,40.84,60.63,28.28,37.87,19.35,291,6.6,73,1887,131,51,64,2404,High
STU00180,61.86,127,206,73.44,73.44,66.11,37,50,50.62,29.8,24.2,25.2,79.2,8.6,2.58,33.98,74.92,24.35,33.44,18.94,211,4.4,90,2141,126,60,43,2851,High
STU00181,77.78,161,208,60.33,60.33,72.43,34,55,60.03,28.0,19.6,25.0,72.6,6.18,6.33,38.14,70.12,35.01,38.25,26.95,327,4.6,77,2098,139,56,49,2070,Medium
STU00182,77.33,158,204,65.22,65.22,54.7,31,47,64.32,30.4,22.2,23.0,75.6,8.02,3.88,41.97,67.03,25.14,31.69,34.4,288,5.6,89,2343,130,51,53,2572,Medium
STU00183,86.51,184,212,67.31,67.31,58.26,34,52,77.28,28.4,23.6,27.2,79.2,7.25,6.25,40.07,58.45,23.67,37.61,31.97,359,5.3,65,1375,178,47,47,2554,Low
STU00184,72.93,161,223,55.82,55.82,61.28,29,53,56.66,30.6,23.8,25.2,79.6,9.23,4.01,38.77,61.85,23.04,29.8,22.08,311,5.5,89,1875,141,41,48,2614,High
STU00185,71.55,152,211,73.74,73.74,68.48,39,53,62.17,29.6,21.8,25.4,76.8,6.99,5.6,38.37,68.48,25.43,34.48,20.58,298,6.0,72,1952,145,45,47,2666,Medium
STU00186,70.37,146,210,43.89,43.89,61.53,20,47,64.36,27.8,19.8,25.4,73.0,8.22,5.53,38.26,67.73,30.04,22.37,21.85,155,4.8,114,1818,164,47,46,2451,Medium
STU00187,81.5,166,203,54.69,54.69,73.45,25,46,56.19,32.8,22.4,27.4,82.6,5.1,7.75,38.73,67.38,32.34,33.81,30.68,274,4.6,77,1738,138,58,41,1872,Medium
STU00188,61.2,138,225,65.95,65.95,76.35,29,44,59.17,28.8,26.8,24.4,80.0,6.35,6.1,46.74,69.07,29.41,27.67,21.59,246,7.2,78,1819,154,56,51,2615,Medium
STU00189,76.02,151,198,54.17,54.17,81.32,26,46,55.75,31.8,24.6,27.0,83.4,8.31,4.89,39.72,68.01,27.24,23.21,25.93,287,5.1,103,2404,128,49,56,2437,Medium
STU00190,56.66,120,209,70.46,70.46,56.54,39,55,61.46,33.0,18.2,24.4,75.6,9.49,2.88,42.64,60.44,33.06,29.17,32.47,221,6.4,75,1992,156,60,41,2593,Medium
STU00191,84.71,174,206,65.76,65.76,61.07,37,56,43.5,29.2,22.8,25.8,77.8,5.45,3.08,41.85,64.26,22.38,30.43,24.44,202,6.2,67,1670,137,49,40,2300,High
STU00192,73.79,153,205,43.47,43.47,60.23,21,49,46.27,31.2,25.8,24.4,81.4,5.54,5.47,47.41,60.61,29.16,33.56,22.71,198,5.5,78,1964,147,60,50,2233,High
STU00193,69.37,146,213,56.56,56.56,81.31,25,47,55.11,34.2,18.0,24.2,76.4,4.73,3.98,51.62,71.91,32.8,31.11,21.14,232,3.8,79,2056,172,50,35,2900,High
STU00194,80.62,181,223,63.67,63.67,65.26,32,51,46.44,25.0,23.0,22.6,70.6,5.72,3.39,35.27,65.47,25.82,34.97,24.7,234,5.7,69,1864,158,39,49,2272,High
STU00195,58.56,126,217,50.6,50.6,48.6,28,54,64.71,30.0,19.8,24.0,73.8,8.77,2.06,50.09,66.58,22.91,30.71,27.49,129,7.0,83,1618,178,59,60,2953,Medium
STU00196,76.68,175,227,58.52,58.52,79.85,33,57,55.15,31.2,23.6,24.0,78.8,6.04,1.38,26.76,62.48,20.99,36.79,28.74,292,6.3,74,1789,149,44,45,2305,High
STU00197,71.45,154,215,58.28,58.28,61.56,31,51,58.43,26.4,21.0,24.2,71.6,9.88,3.42,39.18,70.37,25.64,28.47,26.74,276,6.1,80,2446,144,50,56,2127,Low
STU00198,81.91,183,226,62.2,62.2,71.4,30,49,56.48,33.8,28.0,27.8,89.6,5.9,3.81,32.24,64.13,26.28,39.06,17.67,270,5.1,93,2172,158,39,64,2679,High
STU00199,71.28,162,228,75.45,75.45,80.59,34,48,74.46,28.4,21.4,25.4,75.2,9.95,3.83,39.62,67.11,22.02,30.03,23.42,252,5.6,92,1943,166,49,56,1843,Low
STU00200,80.33,163,204,66.53,66.53,70.32,33,50,55.11,31.4,24.6,27.8,83.8,8.98,5.59,48.53,71.4,34.44,24.1,26.54,262,4.7,94,1861,193,46,49,2410,Medium
STU00201,70.94,159,223,63.59,63.59,58.4,33,53,55.81,30.8,22.0,25.2,78.0,5.39,5.67,30.67,65.25,22.0,30.18,27.41,228,6.0,101,1912,146,48,47,1948,High
STU00202,70.16,160,229,66.11,66.11,75.46,32,48,48.46,24.2,23.2,26.2,73.6,8.65,4.86,36.71,64.43,18.12,26.58,21.19,272,6.3,91,1745,145,53,40,2650,High
STU00203,67.63,132,197,49.45,49.45,59.87,25,50,58.83,31.8,21.8,26.8,80.4,6.37,6.91,49.41,59.9,31.14,21.69,29.35,221,4.8,96,1963,154,55,52,2241,Medium
STU00204,82.06,177,213,47.22,47.22,71.75,24,51,72.37,30.6,25.2,23.0,78.8,9.94,5.75,42.61,70.97,29.95,30.07,30.79,275,6.2,87,1719,141,59,54,2426,Low
STU00205,69.02,151,216,54.32,54.32,82.11,29,53,46.17,31.8,22.6,26.8,81.2,4.93,4.92,33.95,74.65,24.84,38.85,14.07,209,3.9,69,2004,149,52,49,2037,High
STU00206,80.42,168,207,75.32,75.32,74.51,38,51,59.85,28.4,22.2,23.4,74.0,8.52,2.4,54.52,65.92,27.33,31.6,23.4,178,5.1,71,1907,143,45,43,2472,Medium
STU00207,73.52,161,216,65.83,65.83,59.62,37,54,55.66,33.0,23.8,26.2,83.0,7.19,4.21,42.16,71.38,25.36,28.86,21.25,231,5.7,72,2140,154,53,48,2797,High
STU00208,67.59,144,214,63.89,63.89,63.69,30,46,46.53,33.6,20.4,24.4,78.4,7.42,1.51,37.74,61.7,20.55,33.91,32.62,243,7.4,83,1885,168,40,62,2626,High
STU00209,69.55,141,205,65.22,65.22,69.78,30,46,63.5,25.0,23.4,26.2,74.6,7.16,2.07,32.39,66.15,24.28,24.99,17.85,246,4.4,82,1943,106,47,44,2251,Medium
STU00210,69.4,142,204,55.28,55.28,76.06,27,47,42.38,29.2,20.0,24.8,74.0,6.89,1.47,44.9,62.17,27.21,36.57,32.1,229,4.1,79,2026,142,47,43,2853,High
STU00211,73.05,164,226,71.67,71.67,53.27,33,46,61.11,30.2,20.8,24.6,75.6,7.66,1.36,46.65,73.44,26.78,27.5,23.56,278,4.8,68,1776,151,45,45,1533,Medium
STU00212,77.16,171,223,58.28,58.28,74.78,26,45,55.12,29.8,24.0,25.0,78.8,5.67,3.44,34.87,73.11,29.73,23.63,28.8,224,5.8,71,1793,164,50,39,2325,High
STU00213,85.45,175,206,77.85,77.85,65.47,43,55,53.14,29.0,24.8,26.8,80.6,4.96,7.24,44.68,73.46,18.95,30.17,25.08,172,6.1,76,1229,137,43,33,2460,Medium
STU00214,79.03,155,196,75.17,75.17,56.3,36,49,65.18,30.4,21.6,26.2,78.2,8.12,6.4,48.76,68.77,18.6,34.97,29.91,293,6.0,71,1896,118,53,39,2127,Low
STU00215,65.6,145,220,62.38,62.38,61.79,33,52,56.21,28.8,21.4,22.8,73.0,6.37,3.95,35.76,72.69,19.77,38.86,32.02,307,4.8,112,2033,145,53,49,2592,Medium
STU00216,77.01,163,214,67.22,67.22,66.83,31,47,54.04,26.6,21.4,24.8,72.8,5.47,5.27,22.6,70.16,24.1,38.74,30.52,190,4.8,90,1750,155,56,57,2303,High
STU00217,84.93,184,218,68.89,68.89,55.92,35,49,61.41,30.8,20.2,27.0,78.0,6.14,3.92,38.83,68.75,26.26,36.83,26.48,318,4.6,71,2066,132,49,36,2426,High
STU00218,89.29,179,200,88.0,88.0,71.61,46,52,48.45,28.6,26.8,22.4,77.8,6.56,2.93,48.81,70.24,31.41,32.07,21.14,281,4.6,92,1413,129,61,48,2266,High
STU00219,63.83,127,197,79.67,79.67,81.63,38,48,60.69,28.2,19.2,24.0,71.4,5.93,4.1,52.13,69.37,19.64,32.54,17.37,207,5.7,55,1425,139,48,51,2549,High
STU00220,85.3,192,225,63.06,63.06,60.56,34,53,50.71,26.8,27.2,25.8,79.8,9.69,1.04,48.19,71.16,19.99,36.16,22.7,278,6.3,91,1858,143,54,55,1746,Medium
STU00221,80.11,167,213,80.44,80.44,72.33,39,48,44.51,33.8,26.4,23.6,83.8,5.88,2.43,47.24,62.13,19.47,30.04,27.63,332,5.8,89,1474,128,67,51,2258,High
STU00222,71.52,158,219,62.81,62.81,68.81,32,51,65.38,30.0,22.2,25.4,77.6,6.85,5.93,44.77,58.21,33.7,37.58,21.37,275,6.8,91,1133,156,46,46,2579,Low
STU00223,72.35,149,206,56.55,56.55,67.68,27,49,70.11,29.0,22.4,26.6,78.0,5.85,6.99,48.95,62.48,27.41,35.97,16.1,152,6.2,84,2022,131,49,56,1972,Medium
STU00224,69.34,145,210,65.4,65.4,71.93,31,49,42.26,32.6,24.2,26.2,83.0,4.66,4.51,47.97,65.82,23.78,34.57,28.98,188,5.2,73,1107,161,47,50,2646,High
STU00225,67.0,144,217,57.27,57.27,72.77,30,52,67.72,34.6,26.0,25.0,85.6,9.81,1.93,45.7,68.24,30.4,25.89,28.86,182,5.2,68,1975,182,52,54,2295,Medium
STU00226,76.57,168,219,79.42,79.42,53.71,37,46,50.38,30.8,23.8,24.6,79.2,6.96,4.51,48.42,71.58,21.51,28.17,26.99,167,3.9,60,2021,116,48,47,2306,Medium
STU00227,84.42,173,206,79.77,79.77,71.11,36,47,67.05,29.4,20.2,26.2,75.8,8.95,5.98,36.77,74.21,21.31,27.01,26.34,270,5.4,80,1807,163,47,45,2275,Low
STU00228,84.58,180,214,76.35,76.35,65.04,37,49,47.74,28.6,26.0,24.4,79.0,5.06,4.69,34.03,64.44,30.22,38.82,25.0,291,4.3,98,2543,167,43,55,2360,High
STU00229,68.08,139,201,88.56,88.56,72.56,44,50,63.88,33.2,25.0,24.8,83.0,4.61,6.87,40.39,66.88,24.06,33.02,30.35,233,4.8,66,1783,93,58,48,2476,Medium
STU00230,73.42,152,211,51.83,51.83,75.78,25,49,55.69,27.0,26.2,24.4,77.6,9.67,3.03,47.18,72.21,20.23,35.02,20.19,282,4.6,104,1805,160,55,72,2517,Low
STU00231,66.37,142,213,82.56,82.56,66.57,40,49,59.21,28.2,20.8,27.2,76.2,5.55,2.51,37.64,70.56,23.46,31.56,29.61,227,5.9,94,1981,153,39,63,2182,High
STU00232,80.23,174,215,88.89,88.89,57.76,44,50,50.57,29.0,22.6,22.8,74.4,5.49,2.46,32.38,73.86,28.86,39.46,29.13,285,4.9,80,1759,138,46,42,2366,High
STU00233,82.67,182,218,38.54,38.54,73.27,21,54,68.35,26.4,19.6,25.4,71.4,9.7,6.7,37.07,65.74,34.7,36.53,29.3,227,4.5,85,1957,150,49,47,2798,Low
STU00234,74.76,157,211,75.05,75.05,56.31,39,52,59.55,31.4,23.0,25.8,80.2,9.6,4.41,35.24,74.32,17.79,30.96,31.38,256,6.0,83,2174,166,51,53,2888,Medium
STU00235,80.37,165,205,44.91,44.91,57.04,24,54,61.54,31.2,21.6,23.4,76.2,8.6,3.7,40.98,63.59,21.08,31.25,18.01,305,6.3,94,1941,179,56,52,2341,Medium
STU00236,82.88,171,210,64.19,64.19,72.62,29,46,60.71,32.2,25.0,25.0,82.2,6.48,6.31,54.17,69.54,31.74,38.47,23.69,272,4.1,92,1744,186,46,61,2589,Low
STU00237,78.51,162,209,38.23,38.23,65.39,17,45,65.23,29.8,24.0,25.4,79.2,6.28,7.31,48.74,73.0,26.05,26.13,24.79,261,5.7,78,2036,158,52,56,2342,Medium
STU00238,75.92,157,206,71.37,71.37,74.16,34,49,48.98,26.2,24.0,24.8,75.0,5.11,2.47,42.97,74.63,22.04,35.65,19.6,254,4.7,75,1919,181,47,57,2105,High
STU00239,65.99,134,206,80.0,80.0,71.92,37,48,48.76,28.0,25.4,23.6,77.0,9.27,1.16,52.06,63.76,20.79,31.68,23.86,273,5.6,106,1779,143,45,52,2429,High
STU00240,79.49,165,210,55.5,55.5,58.82,25,44,51.5,27.4,18.4,25.0,70.8,6.61,5.99,50.86,67.98,28.68,26.44,26.91,257,4.9,64,1425,134,57,54,2014,High
STU00241,66.11,143,214,77.28,77.28,61.14,39,49,62.6,31.8,19.6,28.2,79.6,7.11,5.58,51.11,61.5,24.27,39.12,25.35,212,6.3,77,1408,141,49,37,2480,Low
STU00242,71.63,161,225,68.05,68.05,72.88,33,49,62.22,32.2,21.6,24.6,78.4,7.9,5.42,38.17,64.35,28.01,33.63,22.46,200,4.7,73,1706,166,48,70,2275,Medium
STU00243,80.96,173,216,68.49,68.49,73.67,35,51,64.67,25.6,21.2,22.2,69.0,9.83,3.74,39.71,64.52,24.5,22.14,21.1,253,5.6,74,2029,137,47,58,2448,Low
STU00244,83.32,184,222,64.17,64.17,83.57,33,51,61.98,27.8,24.8,27.2,79.8,7.51,4.45,44.95,66.48,20.51,28.68,17.09,228,5.1,68,1970,166,49,50,2005,High
STU00245,76.93,152,197,53.33,53.33,76.22,29,55,59.35,34.6,22.8,23.6,81.0,5.47,6.45,35.05,61.35,22.45,28.42,20.7,245,5.9,107,1841,143,46,45,2855,Medium
STU00246,73.18,150,207,79.33,79.33,61.26,41,52,62.98,25.6,20.4,25.0,71.0,5.8,7.13,43.23,67.23,25.2,36.41,25.94,198,5.5,84,1643,164,63,50,2151,Medium
STU00247,69.71,150,214,51.44,51.44,78.64,28,55,70.94,33.0,24.8,25.2,83.0,4.91,6.32,43.95,66.29,27.03,27.94,19.9,220,4.3,88,2095,156,53,46,1858,Medium
STU00248,74.93,171,227,53.69,53.69,62.63,27,50,69.03,31.4,18.6,24.2,74.2,7.24,4.47,51.1,70.82,26.68,33.61,27.16,284,4.6,81,1811,172,47,31,2082,Medium
STU00249,73.26,159,217,53.12,53.12,57.8,29,54,65.33,30.0,21.8,24.8,76.6,9.6,3.93,41.41,66.62,21.45,35.3,29.26,288,5.7,90,1916,146,38,60,2589,Low
STU00250,90.22,198,220,47.78,47.78,67.41,21,44,53.14,29.2,23.4,22.8,75.4,6.42,3.15,33.49,78.53,21.11,31.17,29.19,222,5.4,71,1743,172,39,54,2443,High
STU00251,72.04,148,205,82.67,82.67,68.51,46,55,46.53,31.2,20.4,25.0,76.6,5.12,3.08,46.62,70.0,22.97,40.31,26.57,220,4.3,75,1945,122,54,46,3238,High
STU00252,70.42,150,212,67.64,67.64,70.31,35,51,57.54,29.4,18.8,23.6,71.8,6.14,5.68,52.26,69.72,20.38,37.91,15.95,247,4.7,75,1691,167,41,42,1922,High
STU00253,68.8,153,223,65.4,65.4,60.09,33,51,73.62,34.6,21.0,25.2,80.8,9.57,3.68,49.5,70.57,29.43,27.99,19.64,263,4.9,69,1687,140,61,42,2664,Low
STU00254,71.62,159,220,94.0,94.0,65.77,43,46,83.68,29.2,21.0,24.2,74.4,9.84,7.36,36.82,67.9,21.78,42.23,21.31,227,6.1,89,1243,118,37,39,2378,Low
STU00255,62.8,127,202,66.17,66.17,74.89,34,53,60.46,30.2,23.4,23.8,77.4,8.86,4.27,34.76,66.38,31.41,39.79,25.7,303,7.5,94,1520,123,60,44,2326,Medium
STU00256,84.9,178,209,69.17,69.17,73.47,32,46,42.58,33.0,25.6,24.4,83.0,6.69,2.6,50.32,67.28,26.65,31.34,29.99,290,5.0,85,1569,146,44,49,2398,High
STU00257,70.38,138,197,60.76,60.76,73.11,33,53,49.31,32.0,22.2,26.4,80.6,8.38,3.27,38.31,66.91,21.17,35.25,21.08,178,3.8,73,1890,172,61,47,2110,High
STU00258,74.05,149,204,42.73,42.73,59.09,25,59,65.94,29.8,24.6,29.0,83.4,7.03,6.13,53.61,60.81,20.09,37.09,21.25,228,6.5,91,1980,150,45,42,2456,Medium
STU00259,67.53,139,206,59.67,59.67,74.82,28,46,57.34,24.4,19.2,22.6,66.2,5.78,4.16,57.69,69.39,30.0,33.03,19.53,142,5.0,82,1506,121,41,53,2619,High
STU00260,84.4,179,211,59.62,59.62,61.02,29,48,58.04,30.8,26.0,24.4,81.2,9.07,3.72,46.0,79.78,29.57,29.15,26.8,242,5.8,71,1356,125,58,53,2466,Medium
STU00261,78.93,169,212,72.27,72.27,82.71,34,49,50.57,27.0,21.2,24.2,72.4,8.85,2.64,47.12,60.78,24.56,37.14,25.62,298,5.6,69,1379,136,51,59,2885,High
STU00262,75.34,160,213,69.67,69.67,70.71,34,50,58.75,33.2,24.6,25.4,83.2,6.88,1.14,45.79,67.73,22.06,29.49,25.89,279,5.5,90,1751,161,31,36,2199,Medium
STU00263,78.38,166,210,62.44,62.44,66.84,33,52,56.09,28.8,21.6,22.4,72.8,8.84,2.77,40.28,65.17,24.65,38.77,25.91,268,4.3,94,2029,121,47,63,2400,Medium
STU00264,79.39,168,211,58.57,58.57,65.83,30,51,53.78,28.0,20.0,27.6,75.6,8.81,1.88,32.76,61.41,25.49,43.35,21.85,324,6.8,93,2141,136,64,50,2376,High
STU00265,72.57,160,224,61.06,61.06,53.62,27,45,61.91,27.8,21.8,27.4,77.0,7.46,6.76,38.97,71.06,25.21,27.73,24.52,210,4.1,79,1971,152,58,53,2858,Medium
STU00266,76.03,161,216,46.0,46.0,61.85,21,46,64.69,30.4,24.6,23.8,78.8,9.6,7.56,50.34,64.83,32.92,32.53,17.9,198,6.0,86,1956,172,48,38,2209,Low
STU00267,68.37,131,192,62.78,62.78,72.83,29,46,70.07,33.4,25.4,26.0,84.8,7.1,6.29,49.09,68.65,27.88,32.72,27.96,190,5.9,84,1785,103,52,52,2436,Low
STU00268,63.3,132,211,62.0,62.0,60.72,33,52,49.42,29.6,18.8,26.2,74.6,5.47,5.83,44.48,64.7,24.22,28.48,31.7,241,5.9,88,2059,134,55,45,2438,High
STU00269,76.41,171,220,70.68,70.68,60.69,31,43,56.11,33.4,23.2,24.4,81.0,6.14,6.58,44.13,69.2,21.12,24.85,29.2,261,5.8,71,1303,151,42,60,1747,High
STU00270,66.67,136,205,73.0,73.0,65.18,37,50,53.73,28.4,21.4,23.0,72.8,5.94,3.45,37.85,69.65,27.66,33.26,22.97,219,6.5,68,1773,190,46,35,2431,High
STU00271,69.39,143,207,59.06,59.06,62.78,31,53,57.4,32.2,24.8,27.2,84.2,8.54,5.55,37.12,66.62,14.24,31.53,26.82,265,6.0,66,1471,167,39,54,2171,Medium
STU00272,75.79,168,218,69.72,69.72,55.66,33,49,63.94,29.0,21.6,24.2,74.8,9.38,3.37,40.95,63.85,23.94,25.41,27.24,210,6.1,70,2324,126,60,45,2623,Low
